Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
B-Met-203K-1O,-0.038,-0.016,-0.059,-0.048,-0.072,-0.077,-0.015,-0.108,-0.036,-0.135,-0.056,-0.108,-0.064,-0.058,-0.063,-0.098,-0.089,-0.05,-0.087,-0.061,-0.053,-0.059,-0.083,-0.064,NA,-0.156,NA,-0.077,NA,-0.034,0.032,-0.023,-0.027,-0.043,-0.157,-0.076,-0.05,-0.06,-0.081,-0.041,0.988,-0.055,NA,-0.01,0.074,0.066
B-Met-203K-1T,0.063,0.139,0.027,-0.523,0.057,-0.138,-0.133,-0.173,0.139,0.094,-0.134,-0.163,0.316,-0.15,0.005,0.039,-0.12,-0.04,-0.556,-0.558,-0.028,-0.073,-0.069,-0.021,NA,-0.524,NA,-0.199,NA,0.17,-0.099,-0.561,-0.296,-0.182,-0.288,-0.201,0.194,0.022,-0.058,0.101,1.061,-0.012,NA,-0.551,-0.229,-0.271
B-Met-203PT-1T,-0.052,-0.012,-0.054,-0.054,-0.066,-0.072,-0.019,-0.095,-0.024,-0.099,-0.067,-0.092,-0.056,-0.064,-0.039,-0.102,-0.109,-0.06,-0.116,-0.08,-0.038,-0.06,-0.085,-0.06,NA,-0.08,NA,-0.085,NA,-0.026,-0.035,-0.042,-0.048,-0.079,-0.173,-0.063,-0.087,-0.08,-0.05,-0.027,0.924,-0.024,NA,-0.02,0.099,0.068
B-Met-240K-1O-3p,-0.049,-0.013,-0.049,-0.072,-0.059,-0.086,-0.076,-0.138,-0.06,-0.149,-0.056,-0.128,-0.071,-0.083,-0.035,-0.115,-0.125,-0.057,-0.097,-0.07,-0.043,-0.053,-0.095,-0.066,NA,-0.178,NA,-0.068,NA,-0.026,-0.009,-0.009,-0.029,-0.035,-0.151,-0.08,-0.051,-0.06,-0.043,-0.03,0.755,-0.035,NA,-0.009,0.054,-0.026
B-Met-240K-1T,-0.052,-0.003,-0.057,-0.052,-0.105,-0.069,-0.054,-0.112,-0.076,-0.145,-0.048,-0.106,-0.051,-0.128,-0.057,0.079,-0.116,-0.04,-0.077,-0.063,-0.029,-0.088,-0.15,0.001,NA,-0.17,NA,-0.066,NA,-0.051,0.004,-0.095,0.011,-0.057,-0.156,-0.1,-0.065,-0.052,-0.04,-0.009,0.808,-0.032,NA,-0.051,0.113,0.033
HN-415-1O,-0.051,-0.017,-0.022,-0.045,-0.056,-0.064,-0.015,-0.114,-0.022,-0.123,-0.053,-0.096,-0.042,-0.061,-0.039,-0.097,-0.149,-0.04,-0.035,-0.056,-0.061,-0.065,-0.089,-0.064,NA,-0.077,NA,-0.043,NA,-0.009,0.058,-0.011,-0.015,-0.049,-0.103,-0.055,-0.067,-0.068,-0.003,0.002,1.008,-0.022,NA,-0.016,-0.713,-0.783
HN-415-1T,-0.068,0.006,0.071,0.04,-0.217,0.155,-0.083,-0.08,0.299,-0.207,0.075,-0.122,-0.018,-0.064,-0.128,-0.06,-0.218,-0.035,-0.166,-0.171,-0.103,-0.007,0.188,-0.042,NA,-0.262,NA,-0.049,NA,-0.198,-0.061,0.062,0.044,0.001,-0.089,-0.167,-0.067,-0.073,-0.038,0.065,0.884,-0.085,NA,0.135,-0.62,-0.678
SD-LC-2-1O-p10,-0.011,0.008,-0.03,-0.081,-0.006,-0.071,-0.051,-0.103,-0.031,-0.085,-0.034,-0.092,-0.036,-0.051,-0.023,-0.073,-0.108,-0.028,-0.1,-0.04,-0.022,0.014,-0.062,-0.028,NA,-0.088,NA,-0.028,NA,0.017,0.059,0.006,0.027,0.022,-0.093,-0.061,0.072,0.04,-0.008,0.036,-0.044,-0.044,NA,0.042,-0.215,-0.179
SD-LC-2-1O-p3,-0.017,0.0,-0.023,-0.072,-0.019,-0.058,-0.048,-0.085,-0.021,-0.065,-0.03,-0.081,-0.018,-0.037,-0.017,-0.067,-0.087,-0.039,-0.086,-0.035,-0.019,0.001,-0.038,-0.03,NA,-0.069,NA,-0.026,NA,-0.005,0.042,-0.008,0.011,0.001,-0.081,-0.055,-0.049,0.029,-0.001,0.033,-0.043,-0.043,NA,0.028,-0.216,-0.195
SD-LC-2-1T,-0.307,0.157,0.36,-0.186,-0.296,0.229,-0.374,-0.177,0.125,-0.367,-0.051,-0.156,0.694,0.026,-0.326,0.086,-0.149,-0.343,-0.355,-0.321,0.08,-0.161,0.091,-0.065,NA,0.049,NA,0.065,NA,0.16,-0.092,0.172,-0.286,0.057,-0.154,-0.258,-0.32,0.0,0.179,0.121,-0.348,-0.348,NA,0.216,-0.502,0.102
