Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
blca100_org,-0.016,-0.024,-0.022,-0.157,-0.04,-0.043,-0.062,-0.036,0.013,-0.064,0.008,-0.06,0.01,0.025,-0.08,0.141,-0.06,-0.121,-0.016,0.021,-0.182,-0.09,-0.008,-0.012,NA,-0.026,NA,-0.058,NA,-0.003,0.065,-0.003,0.011,0.02,-0.011,-0.012,-0.009,0.036,0.137,0.154,0.784,-0.045,0.038,0.021,0.089,0.101
blca100_tum,0.019,-0.003,-0.023,-0.1,0.18,0.106,-0.042,-0.205,-0.089,-0.355,-0.024,-0.042,-0.006,0.004,-0.197,0.521,-0.048,-0.401,-0.015,-0.029,-0.505,-0.032,-0.026,-0.039,NA,-0.003,NA,-0.05,NA,-0.071,0.039,0.003,0.029,0.033,-0.021,-0.033,0.059,0.014,0.37,0.366,-0.028,-0.024,0.011,0.014,0.091,0.095
blca112_org,-0.009,-0.021,-0.009,-0.015,-0.424,-0.023,-0.02,-0.038,-0.015,-0.026,-0.022,-0.039,0.013,0.003,-0.025,-0.026,-1.049,-0.938,-0.009,-0.023,-0.85,-0.223,-0.04,0.003,NA,-0.028,NA,-0.009,NA,-0.02,0.037,0.02,0.029,0.034,-0.026,-0.041,0.12,0.116,-0.03,-0.009,0.0,-0.015,0.022,0.031,0.115,0.083
blca112_tum,-0.005,-0.02,-0.015,-0.022,-0.397,-0.032,-0.022,-0.034,-0.025,-0.029,-0.02,-0.032,-0.004,-0.007,-0.052,-0.029,-0.963,-0.877,-0.019,-0.025,-0.811,-0.218,-0.058,-0.006,NA,-0.02,NA,-0.01,NA,-0.026,0.025,0.01,0.012,0.03,-0.031,-0.047,0.071,0.044,-0.033,-0.02,-0.023,-0.023,0.005,0.017,0.099,0.057
blca22_org,-0.025,0.544,0.011,-0.247,-0.03,-0.015,-0.039,-0.006,-0.036,-0.021,-0.009,-0.034,-0.015,0.125,0.466,0.474,-0.029,0.001,0.891,-0.034,-0.045,-0.002,-0.012,-0.016,NA,-0.021,NA,0.445,NA,-0.019,0.006,0.003,0.006,0.283,-0.011,-0.036,0.035,0.024,0.504,0.518,0.007,-0.024,-0.029,-0.036,0.058,0.079
blca22_tum,-0.021,0.487,-0.045,-0.287,-0.056,-0.044,-0.049,-0.048,-0.048,-0.057,-0.014,-0.065,-0.042,-0.036,0.484,0.502,-0.074,-0.012,0.905,-0.052,-0.052,-0.003,-0.03,-0.026,NA,-0.034,NA,0.51,NA,-0.048,-0.015,-0.043,-0.006,0.33,-0.041,-0.035,0.019,-0.023,0.488,0.497,0.019,-0.001,-0.024,-0.006,0.039,0.047
blca27_org,-0.014,-0.003,-0.012,-0.01,-0.033,-0.005,-0.036,0.023,-0.025,-0.017,-0.026,-0.007,-0.004,0.004,-0.011,-0.017,-0.009,-0.023,0.007,-0.032,-0.037,-0.022,0.013,-0.014,NA,0.02,NA,-0.027,NA,-0.046,0.008,-0.039,-0.002,-0.023,-0.015,-0.023,0.049,0.033,-0.054,-0.055,0.053,-0.015,0.264,-0.046,0.115,0.108
blca27_tum,-0.015,-0.011,-0.009,-0.017,-0.028,-0.019,-0.041,0.002,-0.023,-0.022,-0.021,-0.02,-0.003,0.007,-0.016,-0.019,-0.011,-0.012,-0.01,-0.022,-0.038,-0.022,-0.001,-0.018,NA,-0.006,NA,-0.029,NA,-0.032,0.031,-0.031,0.011,-0.016,-0.029,-0.031,0.062,0.031,-0.034,-0.033,0.043,-0.006,-0.0,-0.024,0.118,0.119
blca33_org,0.053,-0.196,-0.008,-0.194,-0.018,0.022,0.103,-0.343,0.116,-0.155,0.169,-0.094,0.048,0.058,-0.495,-0.018,-0.596,-0.57,-0.051,-0.064,-0.594,-0.03,0.041,0.274,NA,0.018,NA,0.038,NA,-0.012,-0.498,0.028,0.056,-0.033,-0.003,-0.025,-0.516,0.325,0.082,0.324,0.051,0.033,-0.477,-0.478,0.136,0.133
blca33_tum,-0.014,-0.108,0.01,-0.176,-0.03,-0.012,0.109,-0.166,0.148,-0.023,0.007,-0.064,0.007,-0.009,-0.231,-0.016,-0.29,-0.267,0.014,-0.019,-0.306,-0.03,0.003,0.18,NA,0.02,NA,0.001,NA,-0.01,-0.227,-0.011,0.008,-0.036,-0.003,-0.02,-0.221,0.184,0.015,0.162,0.055,0.018,-0.289,-0.289,0.116,0.133
