Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
TIF11_2D_DNA,-0.06,0.456,0.375,0.348,-0.011,-0.037,-0.029,-0.038,0.045,0.042,-0.025,-0.606,0.547,-0.012,-0.983,0.542,-0.009,0.007,-0.009,-0.009,-0.059,-0.029,-0.009,-0.0,NA,-0.008,NA,0.011,NA,-0.043,0.011,-0.007,-0.41,0.043,0.016,-0.009,0.115,0.077,-0.099,0.019,-0.009,-0.011,NA,0.038,NA,NA
TIF11_org_E,0.121,0.558,0.077,0.021,0.022,-0.001,0.012,0.023,0.041,0.063,0.048,-0.553,0.484,0.067,-0.911,0.502,-0.03,0.063,0.041,0.041,0.025,0.043,0.041,0.057,NA,0.039,NA,0.058,NA,0.067,0.104,0.083,-0.865,-0.581,0.067,0.041,0.188,0.132,-0.053,0.072,0.041,0.046,NA,0.086,NA,NA
TIF11_org_L,0.144,0.546,0.087,0.034,0.029,0.003,0.018,0.038,0.041,0.057,0.058,-0.523,0.391,0.065,-0.89,0.444,0.041,0.056,0.041,0.028,0.039,0.042,0.065,0.061,NA,0.04,NA,0.06,NA,0.034,0.075,0.077,-0.848,-0.55,0.08,0.041,0.165,0.121,-0.052,0.078,0.041,0.049,NA,0.087,NA,NA
#11_Tumor,-0.015,0.176,-0.021,-0.011,-0.0,-0.017,-0.017,-0.018,-0.009,-0.016,-0.009,-0.179,0.208,-0.022,-0.293,0.209,-0.009,-0.011,-0.024,-0.02,-0.005,-0.007,-0.01,-0.004,NA,-0.006,NA,-0.016,NA,-0.018,-0.037,-0.016,-0.274,-0.15,-0.038,-0.007,-0.035,-0.026,-0.016,-0.01,-0.017,-0.017,NA,-0.014,-0.923,-0.931
TIF20_2D_DNA,0.024,0.005,0.028,0.003,-0.021,0.011,0.056,0.067,0.004,0.018,0.087,0.068,0.072,0.085,0.003,0.022,0.014,0.003,0.036,-0.005,0.003,0.002,0.017,0.023,NA,0.013,NA,0.024,NA,0.011,0.062,0.028,0.062,0.055,0.04,-0.007,0.168,0.137,-0.003,0.027,0.018,0.013,NA,0.049,NA,NA
TIF20_org_DNA,-0.045,-0.06,-0.056,-0.062,-0.44,-0.092,0.435,0.458,-0.077,-0.062,0.455,0.449,0.46,0.466,-0.095,-0.064,-0.074,-0.075,-0.038,-0.079,-0.092,-0.069,-0.048,-0.053,NA,-0.062,NA,-0.043,NA,-0.064,-0.02,-0.036,-0.021,-0.03,-0.038,-0.062,0.525,0.527,-0.095,-0.047,-0.062,-0.064,NA,-0.015,NA,NA
#18_Tumor,-0.015,0.02,-0.008,-0.011,-0.253,-0.025,0.255,0.268,-0.007,-0.004,0.243,0.265,0.264,0.287,0.012,-0.002,0.028,-0.012,0.011,-0.011,-0.026,-0.027,0.009,0.023,NA,-0.009,NA,0.009,NA,-0.0,0.071,0.0,-0.004,-0.001,0.021,-0.009,0.373,0.311,-0.033,-0.026,-0.022,-0.028,NA,-0.006,-0.959,-0.979
TIF8_2D_DNA,0.046,0.017,0.034,0.002,-0.002,0.015,-0.009,0.015,-0.005,0.013,0.023,0.015,0.019,0.036,0.024,0.015,-0.065,-0.009,0.029,0.009,-0.01,0.029,0.029,0.027,NA,0.015,NA,0.038,NA,0.007,0.065,0.03,0.075,0.07,0.03,-0.005,0.126,0.081,-0.009,0.035,0.029,0.026,NA,0.06,NA,NA
TIF8_org_DNA,0.034,0.023,0.037,0.007,0.032,0.014,0.014,0.007,0.02,0.014,0.012,0.002,0.014,0.04,0.034,0.008,-0.065,-0.073,0.037,0.008,0.026,0.037,0.016,0.025,NA,0.015,NA,0.033,NA,0.037,0.089,0.045,0.064,0.07,0.037,0.005,0.136,0.103,0.007,0.022,0.302,0.021,NA,0.081,NA,NA
#8_Tumor,-0.026,-0.01,-0.013,-0.022,0.085,0.092,-0.026,-0.026,0.095,0.098,-0.017,-0.03,0.09,0.102,-0.023,-0.039,-0.099,-0.055,-0.013,-0.027,0.213,0.16,-0.01,-0.023,NA,0.098,NA,0.101,NA,-0.018,-0.002,-0.025,-0.013,-0.009,-0.022,-0.029,0.064,0.015,-0.019,-0.032,-0.024,-0.024,NA,-0.026,-1.016,-1.033
