Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
RP-BL003 PDX p3_RS-03139920_2,-0.624,-0.261,-0.159,0.261,-0.122,-0.188,-0.086,-0.084,-1.269,-0.348,-0.723,-0.545,-0.091,0.143,-0.154,-0.156,-0.051,-0.048,-0.34,-0.173,-0.315,-0.434,-0.068,-0.176,NA,-0.44,NA,-0.365,NA,-0.245,-0.11,-0.118,0.207,0.188,-1.097,-0.627,-0.843,0.021,-0.281,-0.497,0.072,0.205,-0.838,-0.584,-0.31,-0.456
RP-BL003 SS_RS-03139910_2,-0.396,-0.037,-0.289,0.195,-0.297,-0.079,-0.02,0.081,0.09,-0.175,-0.306,0.019,-0.402,-0.076,0.051,-0.197,-0.036,-0.217,-0.229,-0.194,-0.26,-0.192,0.07,-0.275,NA,0.204,NA,-0.215,NA,0.019,-0.403,-0.132,-0.015,-0.337,0.249,0.057,-0.61,-0.253,-0.538,-0.844,0.512,0.162,-0.441,-0.484,0.083,0.59
RP-BL003 XPDO p3_RS-03139921_2,-0.659,-0.306,-0.215,0.165,-0.293,-0.237,-0.127,-0.197,-1.295,-0.336,-0.719,-0.531,-0.204,-0.048,-0.138,-0.213,-0.374,0.003,-0.379,-0.343,-0.38,-0.443,-0.311,-0.145,NA,-0.405,NA,-0.376,NA,-0.462,-0.204,-0.256,0.129,-0.009,-1.202,-0.751,-0.819,-0.213,-0.03,-0.324,-0.351,0.035,-0.9,-0.63,-0.528,-0.915
RP-BL003 XPDS p3_RS-03139922_2,-0.693,-0.327,-0.305,0.086,-0.278,-0.354,-0.159,-0.214,-1.429,-0.49,-0.81,-0.578,-0.331,-0.109,-0.273,-0.29,-0.424,-0.131,-0.23,-0.32,-0.283,-0.462,-0.321,-0.159,NA,-0.692,NA,-0.443,NA,-0.583,-0.341,-0.398,0.146,0.031,-1.238,-1.054,-1.149,-0.345,-0.159,-0.386,-0.162,-0.163,-0.989,-0.654,-0.648,-1.066
RP-BL005 PDX p2_RS-03365647_1,0.066,-0.649,-0.087,-0.257,-0.023,0.249,-0.044,-0.429,0.192,-0.378,-0.249,-0.11,0.392,-0.629,0.108,0.06,-0.335,0.061,-0.007,-0.555,0.01,0.275,0.028,-0.185,NA,0.164,NA,-0.178,NA,-0.689,-0.09,-0.46,-0.102,-0.159,-0.757,-0.308,-0.047,-0.442,-0.399,0.212,-0.179,-0.74,0.176,0.053,-1.425,-0.975
RP-BL005 XPDO p3_RS-03365648_1,-0.028,-0.639,-0.234,-0.506,-0.025,0.277,-0.216,-0.462,0.315,-0.28,-0.197,-0.25,0.516,-0.76,-0.013,-0.077,-0.665,-0.204,-0.182,-0.601,-0.147,0.097,-0.507,-0.417,NA,0.007,NA,-0.411,NA,-0.953,-0.401,-0.705,-0.301,-0.354,-0.918,-0.521,-0.167,-0.547,-0.432,0.198,-0.543,-0.98,-0.068,-0.158,-1.409,-1.496
RP-BL005 XPDS p4_RS-03365655_1,-0.279,-0.782,-0.46,-0.77,-0.298,-0.168,-0.481,-0.924,0.072,-0.734,-0.574,-0.512,-0.223,-1.148,-0.21,-0.237,-1.098,-0.023,-0.413,-0.808,-0.583,-0.111,-0.795,-0.439,NA,-0.244,NA,-0.605,NA,-1.089,-0.755,-1.031,-0.465,-0.548,-1.018,-0.749,-0.457,-0.861,-0.621,-0.053,-0.579,-1.274,-0.432,-0.429,-1.63,-1.729
RP-BL019 PDX p2_RS-03139907_2,-0.183,-0.173,-0.381,-0.056,0.359,-0.033,-0.192,0.027,-0.555,-0.125,0.408,0.307,-0.121,0.049,-0.111,-0.226,-0.352,-0.73,-0.218,-0.106,-0.682,-0.373,-0.217,-0.193,NA,-0.036,NA,0.207,NA,-0.079,-0.338,-0.279,-0.102,-0.418,-0.202,-0.058,0.177,0.073,0.331,0.014,-0.112,-0.772,-0.267,-0.288,-0.364,0.032
RP-BL019 SS_RS-03139909_2,-0.288,-0.154,-0.341,0.018,0.251,-0.013,-0.215,0.103,-0.396,-0.082,0.234,0.321,-0.124,0.161,-0.075,-0.25,-0.283,-0.63,-0.152,-0.134,-0.106,-0.188,-0.11,-0.334,NA,0.024,NA,0.061,NA,-0.027,-0.386,-0.245,-0.135,-0.407,-0.01,0.112,-0.065,0.086,0.042,-0.19,0.085,-0.456,-0.368,-0.368,-0.071,0.456
RP-BL019 XPDO p3_RS-03139911_2,-0.209,-0.354,-0.365,0.04,0.109,0.08,-0.217,0.167,-0.121,-0.165,0.063,0.446,-0.122,0.09,0.028,-0.198,-0.353,-0.657,-0.369,-0.239,-0.586,-0.316,-0.104,-0.328,NA,0.065,NA,0.005,NA,-0.006,-0.429,-0.29,-0.201,-0.456,0.288,0.252,-0.241,0.043,0.036,-0.412,-0.202,-0.614,-0.438,-0.528,-0.261,0.205
