Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
MSK-PCa1.o,-0.104,-0.13,-0.588,0.038,-0.253,0.367,-0.074,-0.08,0.568,-0.366,0.495,0.195,-0.067,-0.078,-0.062,0.606,0.167,0.027,-0.086,-0.123,-0.058,-0.078,-0.097,-0.079,NA,0.009,NA,0.569,NA,-0.079,-0.114,-0.252,0.045,0.349,-0.076,-0.816,-0.162,0.271,-0.803,0.339,-0.708,-0.117,NA,-0.094,NA,NA
MSK-PCa2.o,-0.4,-0.0,-0.004,-0.19,0.039,0.05,-0.353,-0.175,0.312,-0.035,-0.003,-0.133,0.337,0.294,-0.953,0.601,0.027,-0.033,-0.387,-0.193,0.306,-0.119,0.051,0.122,NA,-0.374,NA,-0.212,NA,0.006,-0.19,-0.054,-0.433,-0.425,-0.375,-0.375,0.123,0.321,0.306,0.265,-0.22,0.007,NA,-0.402,NA,NA
MSK-PCa3.o,-0.27,0.012,0.014,-0.107,0.188,0.234,0.025,0.025,0.278,0.062,-0.047,0.035,0.443,0.014,-0.482,0.03,0.306,0.221,0.021,-0.45,0.23,0.24,-0.362,-0.106,NA,-0.648,NA,-0.065,NA,-0.307,-0.034,-0.079,-0.401,-0.055,0.065,0.077,-0.111,-0.104,0.272,0.276,-0.466,-0.01,NA,-0.305,NA,NA
MSK-PCa4.o,0.07,0.369,-0.023,-0.003,-0.334,-0.369,0.044,-0.131,-0.022,-0.194,-0.085,-0.306,0.222,0.356,0.172,0.843,-0.376,0.042,0.012,-0.222,-0.34,-0.353,-0.048,0.05,NA,0.102,NA,0.6,NA,-0.126,-0.371,-0.699,0.016,0.302,0.615,-0.136,-0.026,-0.032,-0.355,0.086,0.06,0.298,NA,0.037,NA,NA
MSK-PCa5.o,-0.005,-0.005,0.004,0.004,0.0,0.006,-0.299,0.028,0.552,0.043,0.017,0.008,0.088,0.43,-0.702,0.191,-0.006,-0.006,-0.629,-0.33,-0.043,-0.014,-0.685,-0.003,NA,-0.304,NA,0.001,NA,-0.009,-0.044,-0.044,-0.686,0.289,0.07,0.07,-0.086,-0.086,0.414,0.258,-0.018,-0.018,NA,-0.068,NA,NA
MSK-PCa6.o,-0.166,0.078,0.02,0.02,-0.377,-0.042,-0.217,-0.212,0.088,0.28,-0.43,-0.475,0.038,0.038,-0.252,0.35,-0.123,-0.363,-0.606,-0.248,-0.258,-0.258,0.086,0.086,NA,0.052,NA,0.142,NA,-0.016,0.306,0.306,-0.259,-0.059,-0.485,-0.485,0.279,0.279,0.376,0.337,-0.101,-0.101,NA,0.162,NA,NA
MSK-PCa7.o,-0.087,0.018,0.025,-0.2,-0.105,0.046,0.047,0.05,0.384,-0.125,0.004,-0.314,0.512,0.511,-0.413,0.403,0.06,-0.0,0.018,-0.011,0.029,0.018,0.042,-0.012,NA,-0.488,NA,0.027,NA,0.005,-0.032,-0.021,-0.027,-0.022,0.04,-0.131,-0.069,-0.065,0.431,0.387,-0.187,0.028,NA,-0.045,NA,NA
MSKPCa8_MET,0.086,0.086,0.265,-0.282,0.208,0.208,-0.275,-0.275,0.326,0.025,-0.347,-0.261,0.501,0.5,0.311,0.463,0.166,0.166,0.266,-0.151,-0.114,-0.114,-0.117,-0.204,NA,-0.387,NA,0.264,NA,-0.265,0.09,-0.156,-0.204,-0.204,-0.162,-0.162,0.038,0.183,0.556,0.556,NA,0.025,NA,-0.372,0.496,0.201
MSKPCa10_MET,0.166,0.187,0.106,-0.067,0.012,0.136,-0.045,-0.014,0.181,0.059,0.586,0.138,-0.055,0.135,0.071,0.051,-0.257,-0.351,-0.549,-0.6,0.073,-0.156,-0.33,0.116,NA,-0.133,NA,0.15,NA,0.096,-0.437,-0.534,-0.073,0.359,0.176,0.176,0.483,0.276,0.366,0.382,NA,0.101,NA,-0.52,0.052,0.052
MSKPCa11_MET,-0.428,0.234,0.064,0.064,0.059,0.31,-0.636,-0.076,-0.007,-0.036,0.02,-0.205,0.077,0.078,-0.342,0.924,0.065,0.061,0.082,0.036,0.031,0.031,0.055,0.069,NA,-0.595,NA,0.53,NA,-0.023,0.061,0.061,-0.236,0.074,0.028,-0.312,0.055,-0.138,-0.53,0.537,NA,0.084,NA,0.088,-0.002,-0.002
