Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
GX001-TF,-0.06,-0.019,-0.03,0.004,-0.022,-0.002,-0.08,-0.021,-0.026,-0.025,-0.03,0.01,0.247,0.196,-0.047,-0.017,-0.044,-0.067,0.165,0.187,-0.035,-0.028,0.003,-0.024,NA,-0.005,NA,-0.07,NA,-0.068,-0.128,-0.126,-0.118,-0.121,0.003,-0.033,-0.213,-0.158,0.413,0.351,0.002,-0.038,NA,-0.131,-0.133,-0.133
GX001-TO_P31,-0.088,-0.088,-0.085,-0.085,-0.09,0.436,-0.09,-0.09,-0.086,-0.086,-0.08,-0.08,0.18,0.187,0.042,0.042,-0.102,-0.094,0.359,0.359,-0.084,-0.084,-0.393,-0.087,NA,-0.07,NA,-0.07,NA,-0.092,-0.092,-0.092,-0.082,-0.082,-0.094,-0.094,-0.08,-0.08,0.622,0.622,-0.077,-0.077,NA,-0.094,0.066,0.066
GX001-TO,-0.093,-0.093,-0.091,-0.063,-0.087,0.26,-0.123,-0.123,-0.056,-0.056,-0.074,-0.072,0.253,0.281,0.093,0.096,-0.101,-0.064,0.202,0.202,-0.097,-0.097,-0.102,-0.102,NA,-0.084,NA,-0.087,NA,-0.113,-0.081,-0.088,-0.108,-0.11,-0.113,-0.113,-0.136,-0.136,0.922,0.878,-0.142,-0.142,NA,-0.091,0.039,0.039
GX006-T2F,-0.106,0.033,0.154,-0.012,-0.123,0.107,-0.251,-0.173,0.317,-0.182,-0.111,-0.031,0.179,-0.001,0.406,0.221,-0.24,-0.012,0.186,0.033,0.135,-0.08,-0.054,-0.06,NA,0.175,NA,-0.087,NA,-0.116,-0.206,-0.242,-0.074,0.034,-0.232,-0.232,-0.146,0.102,-0.17,0.217,-0.22,-0.228,NA,-0.222,-0.234,-0.232
GX006-T2OL,-0.178,-0.032,0.128,0.001,-0.277,0.25,-0.767,-0.502,0.694,-0.202,-0.363,-0.096,0.271,-0.02,0.556,0.289,-1.034,-0.209,0.52,0.253,-0.004,-0.239,-0.204,-0.19,NA,0.496,NA,-0.181,NA,-0.186,-0.596,-0.639,-0.158,0.27,-0.772,-0.772,-0.558,0.501,-0.578,0.493,-0.722,-0.652,NA,-0.486,-0.362,0.245
GX006-T2O,-0.176,0.087,0.421,0.142,-0.383,0.283,-0.758,-0.498,0.74,-0.232,-0.378,-0.082,0.434,0.002,0.587,0.442,-0.939,-0.064,0.411,0.132,0.082,-0.311,-0.202,-0.206,NA,0.5,NA,-0.183,NA,-0.248,-0.653,-0.689,-0.216,0.222,-0.77,-0.77,-0.551,0.282,-0.47,0.436,-0.762,-0.693,NA,-0.471,-0.101,0.09
GX012-TF,-0.132,0.314,-0.001,-0.066,-0.077,0.041,-0.467,0.192,0.192,-0.262,0.156,0.085,0.448,0.001,-0.241,0.202,-0.185,-0.108,0.019,-0.098,-0.024,-0.024,-0.288,-0.247,NA,0.227,NA,-0.138,NA,-0.112,-0.151,-0.24,-0.258,0.115,0.094,0.094,-0.323,0.045,0.038,0.667,-0.175,-0.353,NA,-0.316,-0.306,-0.203
GX012-TO,-0.393,0.099,-0.356,-0.356,0.186,0.186,-1.358,-0.112,-0.392,-0.392,0.559,0.162,0.554,-0.236,-0.778,0.568,-0.258,0.542,-0.3,-0.347,-0.142,-0.257,-0.398,-0.398,NA,0.569,NA,0.153,NA,-0.152,0.151,-0.3,-0.366,0.205,0.185,-0.981,-0.176,0.018,0.146,0.979,-0.395,-0.388,NA,-0.414,-0.578,-0.453
GX021-TF,0.027,0.066,0.005,0.013,-0.258,0.53,-0.0,-0.273,-0.054,-0.142,-0.017,0.023,-0.036,-0.071,-0.518,-0.017,-0.599,-0.13,-0.406,-0.031,-0.506,-0.197,0.095,0.12,NA,0.038,NA,0.035,NA,-0.021,-0.066,-0.066,-0.122,-0.119,-0.096,-0.393,-0.059,-0.098,-0.058,-0.058,0.402,-0.251,NA,-0.582,-0.156,-0.156
GX021-TOL,-0.003,-0.01,0.104,0.07,-0.562,0.266,-0.035,-0.471,-0.035,-0.263,-0.077,-0.077,-0.053,-0.279,-0.737,0.004,-1.501,-0.193,-0.744,-0.063,-0.739,-0.346,0.201,0.284,NA,0.379,NA,0.031,NA,-0.033,-0.09,-0.09,-0.038,-0.038,-0.173,-0.517,-0.078,-0.134,-0.039,-0.039,0.361,-0.417,NA,-0.244,0.004,-0.391
