Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
WCM236_P1,0.0,0.235,0.037,-0.019,0.0,0.0,-0.08,-0.08,-0.06,-0.06,-0.06,-0.06,-0.06,-0.052,0.44,0.44,-0.555,0.04,-0.012,-0.06,-0.04,-0.041,0.01,0.01,NA,-0.04,NA,0.02,NA,0.02,0.04,0.04,0.07,0.07,-0.02,-0.02,0.13,0.212,0.02,0.02,-0.07,0.235,NA,0.07,-0.04,-0.04
WCM236_T1,-0.02,0.416,0.0,-0.071,0.0,0.0,-0.04,-0.04,-0.02,-0.02,-0.01,-0.191,-0.02,0.047,0.77,0.77,-0.12,0.309,-0.02,-0.02,0.059,0.03,0.04,0.04,NA,-0.04,NA,0.093,NA,0.0,0.01,0.01,-0.149,0.04,-0.05,-0.05,0.09,0.09,0.0,0.0,-0.07,0.206,NA,0.06,-0.08,-0.08
WCM244_O1,1.091,0.956,1.35,0.773,0.439,1.135,1.41,0.548,1.691,0.49,0.784,0.399,1.562,0.847,-0.47,1.334,0.386,1.139,0.8,0.824,1.428,1.107,1.506,0.608,NA,0.872,NA,0.348,NA,0.716,0.781,0.945,0.898,1.209,1.101,0.555,0.83,0.595,1.197,1.61,1.0,1.0,NA,0.875,1.72,0.998
WCM244_T1,0.533,0.506,0.83,0.211,-0.037,0.16,0.69,0.343,0.974,0.02,-0.292,0.08,0.983,0.14,-1.03,0.797,-0.467,0.266,0.577,0.089,0.54,0.588,0.768,0.111,NA,0.05,NA,0.443,NA,-0.313,0.165,0.461,-0.121,0.862,0.59,0.108,0.06,0.087,0.843,0.696,0.47,0.47,NA,0.202,0.651,0.26
WCM331_O1,0.434,0.781,1.132,1.09,0.47,0.32,-0.1,-0.1,1.22,0.424,0.51,0.51,0.521,0.935,0.003,0.89,0.718,-0.006,0.48,0.599,0.218,0.235,0.964,0.192,NA,0.537,NA,-0.229,NA,-0.23,0.382,-1.07,-0.18,0.403,0.29,0.29,0.278,1.099,1.202,0.84,0.33,0.33,NA,-0.117,0.607,0.87
WCM331_T1,0.722,1.325,1.366,1.312,0.443,0.989,0.26,0.36,1.6,0.822,0.88,0.88,1.036,1.17,0.384,1.23,1.085,0.384,0.93,1.063,0.608,1.128,1.68,1.078,NA,0.265,NA,0.011,NA,-0.01,0.558,-0.784,0.03,0.62,0.48,0.48,0.464,1.296,1.526,1.05,0.98,0.98,NA,0.09,0.976,1.26
WCM331_T2,0.663,1.179,1.341,1.271,0.53,1.035,0.07,0.07,1.34,0.577,0.64,0.64,0.853,0.944,0.108,1.0,0.85,0.115,0.66,0.792,0.315,0.904,1.455,0.848,NA,0.19,NA,0.011,NA,0.0,0.493,-0.882,0.03,0.634,0.5,0.5,0.556,1.317,1.513,1.04,0.97,0.97,NA,0.101,0.715,0.98
WCM331_T3,1.179,1.923,1.37,1.484,0.86,1.23,0.03,0.03,1.39,0.714,0.8,0.8,1.14,1.14,0.76,0.76,1.73,0.678,0.93,0.93,0.507,0.972,2.263,1.215,NA,0.876,NA,0.228,NA,0.7,0.48,0.48,0.34,0.972,1.26,1.26,0.956,1.189,1.507,1.31,1.11,1.11,NA,0.285,1.27,1.27
WCM344_O1,-0.083,0.035,-0.15,-0.15,-0.15,-0.15,0.035,0.095,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.672,0.1,0.1,0.1,0.1,0.11,0.11,NA,-0.06,NA,-0.12,NA,-0.1,-0.15,-0.15,-0.14,-0.145,-0.17,-0.17,-0.16,-0.16,-0.134,0.46,-0.13,-0.13,NA,-0.13,0.09,0.09
WCM344_T1,0.0,0.441,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.01,0.01,0.0,0.0,-0.01,-0.01,0.01,-0.801,0.01,0.01,0.01,0.01,0.0,0.0,NA,-0.02,NA,-0.01,NA,0.05,-0.01,-0.01,-0.02,-0.025,-0.01,-0.01,-0.01,-0.01,-0.004,0.56,0.0,0.0,NA,-0.01,-0.02,-0.02
