Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
OEAC_001_EU_EX_0298,-0.059,0.126,0.106,0.164,-0.035,0.084,0.14,0.191,0.039,0.031,-0.071,0.03,0.136,0.04,-0.112,0.026,-0.238,-0.28,-0.047,-0.091,0.075,0.092,0.165,0.074,NA,0.264,NA,-0.065,NA,-0.065,-0.181,-0.205,-0.081,-0.081,-0.257,-0.171,-0.283,-0.147,0.308,0.061,-0.028,-0.028,-0.229,-0.229,0.076,0.076
OEAC_001_NN_EX_0291,0.0,0.0,-0.001,-0.001,-0.0,-0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.001,0.001,-0.0,-0.0,NA,-0.001,NA,-0.001,NA,-0.0,0.001,0.001,0.001,0.001,-0.001,-0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,-0.0,-0.0
OEAC_001_OU_EX_006E,0.11,0.11,0.056,-0.471,-0.433,0.116,0.168,0.082,0.092,-0.127,-0.176,-0.486,0.4,-0.566,0.068,0.08,-0.492,-0.492,-0.487,-0.583,0.34,0.498,0.263,0.51,NA,0.429,NA,0.303,NA,-0.471,0.1,0.1,0.495,-0.01,-0.503,-0.428,-0.459,0.465,0.835,0.013,-0.446,-0.113,-0.461,-0.461,0.454,0.494
OEAC_002_EU_EX_0326,-0.166,0.068,-0.005,-0.005,-0.168,0.158,-0.202,-0.202,-0.001,0.033,-0.064,-0.055,0.096,0.016,0.295,0.249,-0.036,0.013,0.139,0.139,0.125,0.125,0.148,0.1,NA,0.158,NA,0.009,NA,-0.09,-0.04,-0.095,-0.252,0.127,-0.428,-0.22,-0.051,0.026,0.153,0.135,-0.225,0.069,0.082,0.128,0.137,0.137
OEAC_002_NN_EX_0345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,NA,-0.0,NA,-0.0,NA,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OEAC_002_OU_EX_0323,0.028,0.009,0.001,0.001,0.004,0.004,-0.031,-0.031,0.007,0.007,0.027,-0.027,0.014,0.014,-0.007,-0.032,-0.04,-0.069,0.012,0.012,0.023,0.023,-0.001,0.012,NA,-0.007,NA,0.015,NA,0.023,0.027,0.038,0.048,0.017,-0.022,-0.022,0.069,0.069,0.035,0.044,0.016,0.016,0.053,0.053,-0.016,-0.016
OEAC_003_EU_EX_00S4,-0.034,0.013,0.074,0.074,-0.047,0.132,0.154,-0.07,-0.031,-0.276,0.22,0.216,0.263,0.117,-0.212,0.369,-0.044,0.231,0.405,-0.007,0.192,0.017,0.3,-0.262,NA,0.401,NA,0.17,NA,-0.09,0.079,-0.063,-0.269,-0.07,0.223,0.002,-0.23,-0.11,0.046,0.265,-0.248,-0.248,-0.246,-0.246,0.032,0.115
OEAC_003_NN_EX_00S3,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,NA,-0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,-0.0,-0.0
OEAC_003_OU_EX_00S5,0.046,0.022,-0.001,0.178,0.001,0.001,0.275,0.028,-0.005,-0.331,0.272,-0.021,0.23,-0.038,-0.316,0.341,-0.153,0.313,0.481,-0.023,0.213,0.226,0.203,-0.303,NA,0.038,NA,0.313,NA,0.029,-0.109,-0.278,-0.276,-0.091,0.162,-0.037,-0.257,-0.226,0.072,0.334,-0.287,-0.287,-0.254,-0.254,-0.155,-0.039
OEAC_004_EU_EX_4320,0.029,0.04,0.039,0.037,0.033,0.129,0.059,0.064,0.042,0.013,0.024,0.07,0.041,0.06,0.043,0.179,-0.026,0.032,0.005,0.034,0.049,0.053,-0.029,0.032,NA,0.054,NA,-0.025,NA,-0.073,-0.036,-0.044,-0.072,0.016,-0.06,0.019,-0.167,-0.175,0.018,0.06,-0.008,-0.015,-0.087,-0.087,0.059,0.078
OEAC_004_NN_EX_4337,-0.001,-0.001,-0.001,-0.001,0.001,0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.002,-0.002,-0.001,-0.001,-0.002,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,NA,0.001,NA,-0.003,NA,-0.002,-0.005,-0.005,-0.004,-0.004,-0.001,-0.001,-0.01,-0.01,-0.002,-0.002,-0.003,-0.003,-0.005,-0.005,0.001,0.001
OEAC_004_OU_EX_5328,-0.286,0.115,0.071,-0.221,0.039,0.54,-0.197,-0.493,-0.057,0.009,0.222,0.035,-0.4,-0.114,-0.018,0.819,-0.142,0.119,0.356,0.508,-0.052,0.236,0.752,0.18,NA,-0.066,NA,0.104,NA,-2.284,-0.237,-0.436,-0.294,0.538,-0.082,0.12,-0.428,-0.428,0.214,0.421,-0.044,-0.044,-0.449,-0.449,0.419,0.454
OEAC_005_EU_EX_5362,-0.044,0.045,0.07,0.018,-0.039,-0.002,-0.052,-0.052,0.005,0.005,-0.033,-0.033,0.191,0.098,-0.056,0.06,-0.005,0.082,0.006,0.006,0.002,0.002,0.072,0.072,NA,0.182,NA,-0.002,NA,-0.016,-0.048,-0.048,0.012,0.141,-0.029,-0.029,0.121,0.017,0.024,0.395,-0.053,-0.053,0.033,0.033,-0.029,0.101
OEAC_005_NN_EX_5337,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.001,NA,0.0,NA,0.0,0.001,0.001,0.0,0.0,0.001,0.001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001
OEAC_005_OU_EX_5318,-0.302,0.208,0.29,0.29,-0.215,0.015,-0.776,-0.856,0.049,0.049,0.084,-0.232,0.619,-0.026,0.055,0.055,-0.089,0.361,0.056,0.056,0.065,0.065,0.079,0.079,NA,0.229,NA,-0.455,NA,-0.478,0.024,0.024,0.016,0.451,-0.389,-0.362,0.067,0.044,0.271,0.836,-0.439,-6.963,0.057,0.072,-0.95,-0.481
OEAC_006_EU_EX_0345,-0.223,-0.018,-0.105,-0.07,-0.021,0.105,-0.069,-0.016,-0.076,-0.075,-0.048,0.023,0.077,-0.129,-0.061,0.173,-0.037,-0.064,-0.007,-0.039,0.092,-0.052,0.094,0.031,NA,0.085,NA,-0.185,NA,0.012,-0.166,-0.249,-0.339,-0.268,0.04,-0.088,-0.381,-0.128,-0.146,0.055,0.028,-0.113,-0.476,-0.476,0.176,0.218
OEAC_006_NN_EX_0376,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0,-0.0,-0.001,-0.001,0.0,0.0,-0.0,-0.0,NA,-0.001,NA,-0.001,NA,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
OEAC_006_OU_EX_0389,-0.346,0.132,0.217,-0.349,-0.0,0.617,-0.337,-0.337,-0.336,-0.152,-0.366,-0.301,0.616,-0.291,-0.291,0.212,-0.966,0.065,0.19,0.19,0.231,-0.049,0.217,0.156,NA,0.097,NA,-0.349,NA,0.163,0.185,-0.381,-0.382,0.206,0.624,-0.272,-0.253,0.577,-0.374,0.72,-0.375,-0.375,-0.384,-0.384,0.613,0.613
OEAC_007_EU_EX_0316,-0.151,0.519,0.511,0.196,-0.172,-0.038,-0.109,-0.168,0.518,-0.155,0.057,0.008,0.215,0.151,-0.177,0.222,-0.142,-0.149,-0.174,-0.167,-0.172,-0.117,-0.161,-0.072,NA,0.51,NA,-0.173,NA,-0.144,-0.132,-0.139,-0.163,-0.104,0.94,0.54,-0.134,-0.114,0.574,0.561,-0.177,-0.177,-0.18,-0.128,0.493,0.527
OEAC_007_NN_EX_0365,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,NA,-0.001,NA,-0.0,NA,-0.0,0.0,0.0,0.0,0.0,-0.001,-0.001,0.001,0.001,0.0,0.0,-0.0,-0.0,0.001,0.001,-0.0,-0.0
