Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
ORG109T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.119,0.0,-0.246,0.0,0.0,0.537,0.535,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0
ORG112T,-0.743,0.458,0.0,0.0,-0.064,-0.035,0.006,0.0,0.0,0.0,0.0,0.0,0.552,0.551,-0.83,0.535,-0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.524,NA,-0.811,NA,-0.65,0.0,0.0,-0.01,-0.011,-0.84,-0.84,0.0,0.0,-0.705,1.248,NA,0.0,NA,0.077,-0.031,-0.031
ORG118T,0.0,0.0,0.529,0.529,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,NA,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.536,0.534,0.0,0.0,NA,0.0,NA,0.0,0.0,0.0
ORG125T,0.0,-0.007,0.0,0.0,0.0,0.293,0.006,0.0,0.0,0.0,-0.417,0.0,0.549,0.404,0.0,0.261,0.0,0.0,0.0,0.467,0.0,0.0,-0.003,0.0,NA,0.0,NA,-0.069,NA,0.0,0.0,0.0,0.001,0.159,0.0,0.0,-0.597,0.0,-0.877,0.613,NA,0.0,NA,0.0,-0.126,-0.133
ORG130T,-0.341,-0.341,0.014,0.014,-0.366,-0.367,-0.375,-0.378,0.0,-0.078,0.249,0.214,0.0,0.0,0.0,0.0,-0.325,-0.325,0.0,0.0,0.0,0.006,0.0,0.0,NA,0.503,NA,-0.331,NA,-0.413,0.221,0.221,-0.847,0.0,-0.813,-0.862,0.0,0.0,0.062,0.416,NA,-0.788,NA,-0.353,-0.805,-0.826
ORG133T,-0.167,0.0,0.0,-0.003,0.0,0.0,-0.298,-0.314,0.0,0.0,0.115,0.114,0.552,0.551,-0.696,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,NA,0.0,NA,0.159,NA,0.046,0.0,0.0,-0.29,-0.283,-0.026,-0.515,0.161,0.184,-0.787,0.329,NA,0.04,NA,-0.021,0.0,0.0
ORG46T,0.494,0.854,0.0,0.0,0.468,0.502,0.091,0.476,0.558,0.537,0.165,0.162,0.0,0.0,0.024,1.103,0.692,0.689,0.013,0.353,0.054,0.141,0.0,0.0,NA,0.0,NA,0.433,NA,0.52,0.546,0.486,0.25,0.225,0.05,0.054,0.64,0.757,0.201,0.0,NA,0.145,NA,0.032,0.0,0.0
ORG51T,0.495,0.558,0.772,0.507,0.499,0.499,0.04,0.002,1.135,0.0,0.554,0.284,0.0,0.001,-0.324,0.859,0.802,0.271,0.513,0.512,0.492,0.263,0.669,0.602,NA,1.001,NA,0.447,NA,0.472,0.381,0.37,0.113,0.509,0.269,0.269,0.326,0.634,0.19,1.269,NA,-0.053,NA,0.46,0.425,0.093
ORG53T,-0.236,-0.269,0.228,0.004,-0.032,-0.032,-0.45,-0.455,-0.362,-0.363,-0.022,-0.048,0.541,-0.006,0.009,0.009,-0.302,-0.302,-0.32,-0.319,0.0,0.0,-0.013,-0.326,NA,0.498,NA,0.0,NA,-0.36,0.0,0.0,-0.358,-0.358,-1.029,-0.818,-0.722,-0.081,0.8,0.8,NA,-0.46,NA,-0.276,-0.003,-0.003
ORG73T,-0.36,-0.179,0.0,0.0,0.0,0.109,-0.793,-0.798,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.498,-0.319,0.089,0.0,0.0,0.0,0.0,-0.041,-0.06,NA,0.156,NA,0.0,NA,-0.0,0.0,0.0,-0.775,0.0,-0.814,-0.814,0.038,0.0,-0.802,0.794,NA,-0.76,NA,-0.229,0.0,0.0
