Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
B-Met-031-1T-D,-0.428,0.29,0.211,-0.371,-0.063,0.084,-0.093,0.17,0.177,-0.081,-0.425,0.03,0.146,0.257,-0.847,0.039,-0.155,0.409,0.049,0.229,-0.138,-0.365,0.36,-0.124,NA,0.146,NA,-0.061,NA,-0.297,0.353,0.161,-0.094,0.641,-0.819,-0.3,0.369,0.068,0.147,0.104,1.377,0.102,NA,-0.02,-0.092,-0.033
B-Met-096K-1O-D-12-23,0.016,0.09,0.059,0.0,-0.004,-0.007,-0.005,-0.018,-0.004,-0.036,0.03,-0.032,0.014,0.062,0.02,-0.048,0.038,0.091,0.026,0.018,0.045,0.006,-0.001,0.016,NA,-0.03,NA,0.022,NA,0.106,0.309,0.027,0.108,0.039,0.013,-0.055,0.206,0.091,-0.017,0.015,1.576,0.039,NA,0.088,0.17,0.119
B-Met-096K-1T-D-12-23,-0.246,0.129,0.091,-0.011,-0.094,-0.163,-0.672,-0.035,0.141,-0.036,0.184,-0.101,0.344,0.191,-0.321,-0.046,-0.004,-0.062,0.495,-0.252,-0.102,-0.179,-0.009,0.081,NA,-0.598,NA,0.027,NA,0.178,0.426,-0.225,-0.276,0.481,-0.2,-0.415,0.202,0.265,0.059,0.364,1.336,0.131,NA,0.132,-0.208,-0.28
B-Met-131K-1O-D-12-23,0.007,0.071,0.02,-0.005,0.0,-0.009,-0.002,-0.017,0.004,-0.039,0.028,-0.04,-0.0,0.073,0.025,-0.042,0.036,0.081,0.002,0.029,0.046,-0.012,-0.003,0.013,NA,-0.031,NA,0.009,NA,0.089,0.264,0.018,0.097,0.03,0.002,-0.114,0.197,0.083,-0.022,0.002,1.502,0.038,NA,0.073,0.151,0.103
B-Met-131K-1T-D-12-23,-0.164,0.371,0.003,-0.054,-0.054,0.198,-0.051,0.049,0.24,0.111,0.26,-0.276,-0.084,-0.145,-0.372,0.34,-0.159,-0.091,0.119,-0.165,-0.003,-0.061,-0.157,0.109,NA,-0.182,NA,0.08,NA,-0.244,0.425,0.157,0.1,0.177,-0.172,-0.306,-0.119,0.111,0.279,0.353,1.549,0.13,NA,0.049,0.293,0.154
B-Met-156K-1O-D,-0.002,0.076,0.02,-0.014,-0.01,-0.019,-0.009,-0.03,-0.005,-0.047,0.021,-0.044,0.01,0.069,0.027,-0.06,0.032,0.073,-0.014,0.013,0.056,-0.026,-0.019,-0.0,NA,-0.041,NA,0.002,NA,0.074,0.253,-0.007,0.088,0.006,0.002,-0.106,0.158,0.059,-0.031,-0.036,1.231,0.022,NA,0.049,0.136,0.107
B-Met-156K-1T-D,-0.002,0.092,0.283,-0.032,-0.09,0.218,-0.368,-0.144,0.087,-0.23,0.337,-0.064,0.33,0.049,0.035,0.301,-0.212,-0.04,0.636,0.091,-0.019,-0.098,0.097,-0.007,NA,-0.345,NA,-0.308,NA,-0.237,0.328,0.127,-0.019,-0.04,-0.016,-0.45,-0.119,0.4,0.775,0.426,1.33,0.332,NA,-0.262,0.125,0.289
B-Met-203K-1O-D,-0.019,0.065,0.004,-0.034,-0.026,-0.042,-0.025,-0.061,-0.042,-0.069,0.004,-0.081,-0.004,0.023,-0.016,-0.09,0.105,0.044,-0.044,-0.005,0.042,-0.038,-0.04,-0.023,NA,-0.057,NA,-0.043,NA,0.063,0.288,-0.006,0.068,0.012,-0.034,-0.09,0.137,0.049,-0.052,-0.05,1.642,0.009,NA,0.042,0.127,0.093
B-Met-203K-1T-D,0.155,0.258,0.114,-0.497,0.146,-0.062,-0.085,-0.087,0.208,0.184,-0.018,-0.107,0.43,0.004,0.115,0.129,0.137,0.1,-0.459,-0.489,0.088,-0.006,0.013,0.059,NA,-0.385,NA,-0.116,NA,0.317,0.202,-0.541,-0.193,-0.131,-0.136,-0.256,0.542,0.199,-0.027,0.152,1.851,0.082,NA,-0.476,-0.199,-0.277
B-Met-226K-1O-D,-0.016,0.062,0.001,-0.036,-0.034,-0.043,-0.031,-0.064,-0.04,-0.074,0.016,-0.066,-0.018,0.05,-0.01,-0.073,0.0,0.044,-0.026,-0.0,0.023,-0.044,-0.041,-0.021,NA,-0.054,NA,-0.02,NA,0.059,0.27,-0.0,0.086,0.015,-0.02,-0.085,0.133,0.036,-0.043,-0.037,1.254,0.018,NA,0.038,0.118,0.043
