Sample_ID,1p,1q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q,10p,10q,11p,11q,12p,12q,13p,13q,14p,14q,15p,15q,16p,16q,17p,17q,18p,18q,19p,19q,20p,20q,21p,21q,22p,22q,Xp,Xq
SCBO-1_Organoid_P1,-0.175,0.458,0.069,0.069,0.06,0.06,-0.155,-0.155,0.075,0.075,0.102,0.102,0.569,0.569,0.068,0.068,-0.243,-0.319,-0.23,-0.23,-0.345,-0.335,0.095,0.095,NA,0.082,NA,-0.234,NA,-0.447,-0.03,-0.03,0.052,0.052,-0.262,-0.262,0.002,0.002,0.497,0.497,NA,0.549,NA,-0.195,-0.079,-0.113
SCBO-1_Organoid_P11,0.011,0.514,0.092,0.092,0.006,0.014,-0.318,-0.223,-0.015,-0.015,-0.017,-0.017,0.382,0.382,-0.18,0.067,-0.259,-0.305,-0.248,-0.248,-0.211,-0.211,0.002,0.002,NA,-0.039,NA,-0.28,NA,-0.282,0.015,0.015,0.014,0.014,0.026,0.026,-0.06,-0.06,0.411,0.449,NA,0.234,NA,-0.452,-0.058,-0.058
SCBO-1_Organoid_P7,0.007,0.562,0.058,0.058,0.018,0.008,-0.278,-0.174,0.034,0.034,0.009,0.009,0.369,0.369,-0.196,0.017,-0.297,-0.353,-0.276,-0.276,-0.248,-0.248,-0.005,-0.005,NA,-0.008,NA,-0.259,NA,-0.286,-0.006,-0.006,0.011,0.011,0.018,0.018,-0.107,-0.106,0.466,0.449,NA,0.22,NA,-0.658,0.012,0.012
SCBO-1_Parental,-0.203,0.222,0.017,0.017,0.041,0.041,-0.162,-0.162,-0.001,-0.001,0.199,0.203,0.348,0.354,-0.069,-0.069,-0.212,-0.234,-0.112,-0.166,-0.374,-0.155,0.012,-0.005,NA,0.061,NA,-0.057,NA,-0.407,-0.071,-0.071,0.151,0.151,-0.001,-0.001,0.241,0.252,0.335,0.331,NA,0.376,NA,0.011,-0.171,-0.189
SCBO-1_Xenograft,-0.628,-0.237,-0.117,-0.024,-0.034,0.088,-0.191,-0.141,-0.126,0.168,-0.278,-0.251,0.659,0.659,-0.183,-0.183,-0.088,-0.042,-0.164,-0.223,-0.166,-0.166,-0.197,-0.071,NA,0.104,NA,-0.565,NA,-0.104,0.25,0.25,-0.126,-0.158,-0.216,-0.216,0.31,0.372,0.44,0.44,NA,0.423,NA,-0.439,-0.054,-0.054
SCBO-1_XenoOrganoid_P3,-0.166,0.182,-0.149,-0.149,-0.122,0.135,-0.177,-0.041,-0.127,0.097,-0.192,-0.192,0.674,0.674,-0.361,-0.099,-0.166,-0.188,-0.198,-0.198,-0.168,-0.168,-0.203,-0.203,NA,0.104,NA,-0.544,NA,-0.19,0.08,0.08,-0.208,-0.208,-0.159,-0.159,0.041,0.041,0.377,0.377,NA,0.35,NA,-0.575,-0.18,-0.14
SCBO-10_Organoid_P0,0.158,0.424,-0.2,-0.145,0.2,0.259,-0.128,-0.132,0.282,-0.181,0.122,0.054,0.268,0.269,-0.14,-0.14,0.161,-0.3,0.132,0.11,-0.772,-0.468,0.139,0.139,NA,-0.469,NA,-0.203,NA,0.06,-0.199,-0.199,0.146,0.146,-0.178,-0.178,0.082,0.082,0.113,0.113,NA,0.13,NA,0.083,0.638,0.558
SCBO-10_Organoid_P13,0.088,0.367,-0.239,-0.119,0.27,0.218,-0.225,-0.229,0.474,-0.186,-0.002,-0.078,0.323,0.321,-0.182,-0.087,0.136,-0.287,0.108,0.108,-0.78,-0.506,0.135,0.135,NA,-0.706,NA,-0.131,NA,0.05,-0.278,-0.254,0.116,0.116,-0.197,-0.197,-0.075,-0.075,0.126,0.126,NA,0.123,NA,0.134,0.4,0.398
SCBO-10_Organoid_P17,0.07,0.413,-0.23,-0.106,0.27,0.171,-0.257,-0.261,0.47,-0.146,-0.131,-0.2,0.346,0.345,-0.278,-0.088,0.109,-0.297,0.114,0.114,-0.88,-0.491,0.155,0.155,NA,-0.704,NA,-0.021,NA,0.022,-0.269,-0.269,0.046,0.134,-0.234,-0.234,0.022,0.022,0.123,0.123,NA,0.14,NA,0.074,0.381,0.388
SCBO-10_Organoid_P5,0.163,0.4,-0.194,-0.128,0.175,0.233,-0.187,-0.191,0.326,-0.121,0.117,0.064,0.3,0.3,-0.135,-0.135,0.16,-0.172,0.142,0.138,-0.797,-0.457,0.165,0.165,NA,-0.512,NA,-0.125,NA,0.077,-0.221,-0.221,0.163,0.163,-0.175,-0.175,-0.038,-0.038,0.131,0.131,NA,0.135,NA,0.137,0.661,0.532
