Sample_ID,Chromosome,Start,End,SegmentMean
SCBO-1_Organoid_P1,1,2488138,120539788,-0.1798
SCBO-1_Organoid_P1,1,120548082,245977996,0.4576
SCBO-1_Organoid_P1,2,4717089,242800953,0.0694
SCBO-1_Organoid_P1,3,1449872,194238390,0.0602
SCBO-1_Organoid_P1,4,1402650,190262486,-0.1546
SCBO-1_Organoid_P1,5,218502,180076517,0.0754
SCBO-1_Organoid_P1,6,393261,170798891,0.1023
SCBO-1_Organoid_P1,7,1672540,158450965,0.5692
SCBO-1_Organoid_P1,8,565232,145743127,0.0679
SCBO-1_Organoid_P1,9,421980,20781979,-0.1599
SCBO-1_Organoid_P1,9,21968235,22012061,-4.9214
SCBO-1_Organoid_P1,9,27687159,139820244,-0.3193
SCBO-1_Organoid_P1,10,1510047,134199067,-0.2304
SCBO-1_Organoid_P1,11,532696,2165061,-0.6342
SCBO-1_Organoid_P1,11,2583141,133495556,-0.3349
SCBO-1_Organoid_P1,12,394725,133263871,0.0948
SCBO-1_Organoid_P1,13,21004738,111119077,0.0825
SCBO-1_Organoid_P1,14,20347564,105906073,-0.234
SCBO-1_Organoid_P1,15,26216370,45010061,-0.5094
SCBO-1_Organoid_P1,15,45468626,63995423,-0.2999
SCBO-1_Organoid_P1,15,66679726,74005286,-0.621
SCBO-1_Organoid_P1,15,74567025,88459784,-0.3662
SCBO-1_Organoid_P1,15,88472539,99861618,-0.5671
SCBO-1_Organoid_P1,16,115072,89882984,-0.0303
SCBO-1_Organoid_P1,17,114669,80783009,0.0519
SCBO-1_Organoid_P1,18,724528,74387299,-0.2618
SCBO-1_Organoid_P1,19,1207058,58288169,0.0017
SCBO-1_Organoid_P1,20,345864,60426113,0.4973
SCBO-1_Organoid_P1,21,17798960,45660694,0.5489
SCBO-1_Organoid_P1,22,19053406,49370834,-0.1951
SCBO-1_Organoid_P1,X,451142,47035942,-0.0643
SCBO-1_Organoid_P1,X,47038532,47045936,-0.4653
SCBO-1_Organoid_P1,X,47422415,53221973,-0.1657
SCBO-1_Organoid_P1,X,53222332,53224182,-0.4709
SCBO-1_Organoid_P1,X,53224503,149924738,-0.1131
SCBO-1_Organoid_P11,1,2488138,120539788,0.0076
SCBO-1_Organoid_P11,1,120548082,149824422,0.4741
SCBO-1_Organoid_P11,1,150547161,161332225,0.6942
SCBO-1_Organoid_P11,1,162688895,162749969,0.8766
SCBO-1_Organoid_P11,1,162831317,175869554,0.5233
SCBO-1_Organoid_P11,1,175914298,176175911,0.7437
SCBO-1_Organoid_P11,1,180810233,190734051,0.3701
SCBO-1_Organoid_P11,1,193091396,206945698,0.6878
SCBO-1_Organoid_P11,1,209632563,226259116,0.428
SCBO-1_Organoid_P11,1,226549202,230355438,0.6495
SCBO-1_Organoid_P11,1,232455403,240683489,0.3277
SCBO-1_Organoid_P11,1,241661199,245977996,0.5876
SCBO-1_Organoid_P11,2,4717089,242800953,0.0918
SCBO-1_Organoid_P11,3,1449872,49722036,-0.0007
SCBO-1_Organoid_P11,3,49722244,49726078,-0.2129
SCBO-1_Organoid_P11,3,49924868,194238390,0.014
SCBO-1_Organoid_P11,4,1402650,145225998,-0.318
SCBO-1_Organoid_P11,4,153244167,175047639,-0.0372
SCBO-1_Organoid_P11,4,176935634,187367539,0.2166
SCBO-1_Organoid_P11,4,187510060,187629349,0.453
SCBO-1_Organoid_P11,4,190093246,190262486,0.2156
SCBO-1_Organoid_P11,5,218502,180076517,-0.0149
SCBO-1_Organoid_P11,6,393261,170798891,-0.0171
SCBO-1_Organoid_P11,7,1672540,158450965,0.3815
SCBO-1_Organoid_P11,8,565232,24533193,-0.246
SCBO-1_Organoid_P11,8,29496762,53901286,-0.0705
SCBO-1_Organoid_P11,8,55364061,56063806,-0.2771
SCBO-1_Organoid_P11,8,59790210,74885061,0.1697
SCBO-1_Organoid_P11,8,81288925,98382025,-0.0337
SCBO-1_Organoid_P11,8,102984279,117878897,0.1756
SCBO-1_Organoid_P11,8,120071898,125874959,-0.0624
SCBO-1_Organoid_P11,8,128343879,128755161,0.2703
SCBO-1_Organoid_P11,8,131098162,145743127,0.0971
SCBO-1_Organoid_P11,9,421980,5081793,-0.2056
SCBO-1_Organoid_P11,9,5089769,8733812,-0.342
SCBO-1_Organoid_P11,9,10094898,20781979,-0.1463
SCBO-1_Organoid_P11,9,21968235,22012061,-6.1385
SCBO-1_Organoid_P11,9,27687159,139820244,-0.305
SCBO-1_Organoid_P11,10,1510047,134199067,-0.2477
SCBO-1_Organoid_P11,11,532696,133495556,-0.2111
SCBO-1_Organoid_P11,12,394725,133263871,0.0019
SCBO-1_Organoid_P11,13,21004738,111119077,-0.0387
SCBO-1_Organoid_P11,14,20347564,105906073,-0.2805
SCBO-1_Organoid_P11,15,26216370,99861618,-0.2819
SCBO-1_Organoid_P11,16,115072,89882984,0.0147
SCBO-1_Organoid_P11,17,114669,80783009,0.0145
SCBO-1_Organoid_P11,18,724528,74387299,0.0263
SCBO-1_Organoid_P11,19,1207058,58288169,-0.0603
SCBO-1_Organoid_P11,20,345864,7601013,0.2668
SCBO-1_Organoid_P11,20,9520187,57485811,0.4735
SCBO-1_Organoid_P11,20,58054448,60426113,0.1561
SCBO-1_Organoid_P11,21,17798960,45660694,0.2341
SCBO-1_Organoid_P11,22,19053406,24176652,-0.6897
SCBO-1_Organoid_P11,22,25494744,26790885,-0.2369
SCBO-1_Organoid_P11,22,27561500,30090766,-0.6957
SCBO-1_Organoid_P11,22,30937307,41461836,-0.3571
SCBO-1_Organoid_P11,22,41489056,41573869,-0.6884
SCBO-1_Organoid_P11,22,44445659,49370834,-0.3361
SCBO-1_Organoid_P11,X,451142,149924738,-0.0575
SCBO-1_Organoid_P7,1,2488138,120539788,0.0019
SCBO-1_Organoid_P7,1,120548082,161332225,0.6324
SCBO-1_Organoid_P7,1,162688895,162749969,0.8376
SCBO-1_Organoid_P7,1,162831317,176175911,0.6805
SCBO-1_Organoid_P7,1,180810233,188746974,0.3434
SCBO-1_Organoid_P7,1,189243491,228623061,0.5712
SCBO-1_Organoid_P7,1,230355438,240683489,0.2914
SCBO-1_Organoid_P7,1,241661199,245977996,0.5517
SCBO-1_Organoid_P7,2,4717089,242800953,0.0576
SCBO-1_Organoid_P7,3,1449872,49722244,0.0258
SCBO-1_Organoid_P7,3,49722484,49724176,-0.2313
SCBO-1_Organoid_P7,3,49724440,194238390,0.0083
SCBO-1_Organoid_P7,4,1402650,145225998,-0.2781
SCBO-1_Organoid_P7,4,153244167,166310721,0.0231
SCBO-1_Organoid_P7,4,173704182,175047639,-0.1741
SCBO-1_Organoid_P7,4,176935634,190262486,0.3577
SCBO-1_Organoid_P7,5,218502,180076517,0.034
SCBO-1_Organoid_P7,6,393261,170798891,0.0091
SCBO-1_Organoid_P7,7,1672540,158450965,0.3687
SCBO-1_Organoid_P7,8,565232,56063806,-0.1965
SCBO-1_Organoid_P7,8,59790210,145743127,0.0396
SCBO-1_Organoid_P7,9,421980,20781979,-0.2334
SCBO-1_Organoid_P7,9,21968235,22012061,-4.462
SCBO-1_Organoid_P7,9,27687159,139820244,-0.3532
SCBO-1_Organoid_P7,10,1510047,134199067,-0.2756
SCBO-1_Organoid_P7,11,532696,133495556,-0.2484
SCBO-1_Organoid_P7,12,394725,133263871,-0.005
SCBO-1_Organoid_P7,13,21004738,111119077,-0.0079
SCBO-1_Organoid_P7,14,20347564,105906073,-0.259
SCBO-1_Organoid_P7,15,26216370,99861618,-0.2865
SCBO-1_Organoid_P7,16,115072,89882984,-0.006
SCBO-1_Organoid_P7,17,114669,80783009,0.0109
SCBO-1_Organoid_P7,18,724528,74387299,0.0178
SCBO-1_Organoid_P7,19,1207058,58288169,-0.1065
SCBO-1_Organoid_P7,20,345864,57485811,0.4659
SCBO-1_Organoid_P7,20,58054448,60426113,0.2545
SCBO-1_Organoid_P7,21,17798960,45660694,0.2197
SCBO-1_Organoid_P7,22,19053406,49370834,-0.6575
SCBO-1_Organoid_P7,X,451142,149924738,0.0124
SCBO-1_Parental,1,2488138,120539788,-0.2069
SCBO-1_Parental,1,120548082,245977996,0.2221
SCBO-1_Parental,2,4717089,242800953,0.0168
SCBO-1_Parental,3,1449872,194238390,0.0408
SCBO-1_Parental,4,1402650,190262486,-0.1615
SCBO-1_Parental,5,218502,180076517,-0.0007
SCBO-1_Parental,6,393261,36645662,0.1972
SCBO-1_Parental,6,36648361,36653553,-0.1184
SCBO-1_Parental,6,37138393,170798891,0.203
SCBO-1_Parental,7,1672540,2946374,0.0913
SCBO-1_Parental,7,2949742,158450965,0.3539
SCBO-1_Parental,8,565232,145743127,-0.0689
SCBO-1_Parental,9,421980,20781979,-0.1864
SCBO-1_Parental,9,21968235,22012061,-1.7121
SCBO-1_Parental,9,27687159,139820244,-0.2342
SCBO-1_Parental,10,1510047,43572743,-0.1116
SCBO-1_Parental,10,43596039,43615086,-0.4346
SCBO-1_Parental,10,43615590,134199067,-0.1672
SCBO-1_Parental,11,532696,32456569,-0.4801
SCBO-1_Parental,11,35053817,74401763,-0.1684
SCBO-1_Parental,11,76059229,105610205,0.0666
SCBO-1_Parental,11,108098388,133495556,-0.4036
SCBO-1_Parental,12,394725,12268245,0.0424
SCBO-1_Parental,12,12865061,12874261,0.3619
SCBO-1_Parental,12,13685816,133257233,-0.0047
SCBO-1_Parental,12,133257795,133263871,0.2205
SCBO-1_Parental,13,21004738,111119077,0.0614
SCBO-1_Parental,14,20347564,105906073,-0.0572
SCBO-1_Parental,15,26216370,99861618,-0.4072
SCBO-1_Parental,16,115072,89882984,-0.0713
SCBO-1_Parental,17,114669,80783009,0.1511
SCBO-1_Parental,18,724528,74387299,-0.0011
SCBO-1_Parental,19,1207058,47735816,0.241
SCBO-1_Parental,19,50902210,51805318,0.0351
SCBO-1_Parental,19,52693449,58288169,0.3267
