Sample_ID,Chromosome,Start,End,SegmentMean
MSK-PCa1.o,1,564424,72764838,-0.0855
MSK-PCa1.o,1,72766555,72824405,0.6251
MSK-PCa1.o,1,72830009,93489682,-0.0626
MSK-PCa1.o,1,93491280,94815181,-0.8021
MSK-PCa1.o,1,94847476,116228202,-0.0646
MSK-PCa1.o,1,116230147,116231879,-3.3297
MSK-PCa1.o,1,116233912,117399775,-0.011
MSK-PCa1.o,1,117411437,120230252,-0.8061
MSK-PCa1.o,1,120232023,120531554,-0.0273
MSK-PCa1.o,1,120536872,145291711,-0.4418
MSK-PCa1.o,1,145382362,156326006,-0.0912
MSK-PCa1.o,1,156327568,156689332,-0.7743
MSK-PCa1.o,1,156695586,158866526,-0.1221
MSK-PCa1.o,1,158868172,158869718,1.2332
MSK-PCa1.o,1,158871944,169216643,-0.0573
MSK-PCa1.o,1,169227144,169241274,0.8303
MSK-PCa1.o,1,169254119,174794374,-0.0522
MSK-PCa1.o,1,174796914,174800714,-1.1234
MSK-PCa1.o,1,174801953,249219891,-0.0612
MSK-PCa1.o,2,17019,26060068,-0.7884
MSK-PCa1.o,2,26062336,28069907,-0.0747
MSK-PCa1.o,2,28071450,28639259,-0.8198
MSK-PCa1.o,2,28640552,31175927,-0.0539
MSK-PCa1.o,2,31177438,61447581,-0.8182
MSK-PCa1.o,2,61450726,70559978,0.3948
MSK-PCa1.o,2,70566002,81941218,-0.8322
MSK-PCa1.o,2,81955077,84393276,-0.1271
MSK-PCa1.o,2,84406923,84924693,-0.8238
MSK-PCa1.o,2,84926964,89106003,-0.0602
MSK-PCa1.o,2,89109905,89160133,-0.7715
MSK-PCa1.o,2,89163862,90265060,-0.07
MSK-PCa1.o,2,91764167,97238710,-0.5453
MSK-PCa1.o,2,97242858,97352178,-0.036
MSK-PCa1.o,2,97354352,111526851,-0.52
MSK-PCa1.o,2,111528859,118497314,-0.0762
MSK-PCa1.o,2,118504732,132680927,-0.829
MSK-PCa1.o,2,132689328,133127581,-0.2598
MSK-PCa1.o,2,133133933,146634082,-0.8355
MSK-PCa1.o,2,146640314,154893196,0.3943
MSK-PCa1.o,2,154897375,154898697,-4.2151
MSK-PCa1.o,2,154899849,178837738,0.4103
MSK-PCa1.o,2,178844014,178857173,-0.8362
MSK-PCa1.o,2,178861510,214159302,0.3984
MSK-PCa1.o,2,214160767,214172637,0.0369
MSK-PCa1.o,2,214174963,242852566,0.3673
MSK-PCa1.o,2,242857589,243041305,0.0449
MSK-PCa1.o,3,62075,609043,0.089
MSK-PCa1.o,3,614224,657762,-0.7098
MSK-PCa1.o,3,660754,18012836,-0.0267
MSK-PCa1.o,3,18015375,18031232,-0.3946
MSK-PCa1.o,3,18035451,24142490,-0.8314
MSK-PCa1.o,3,24144706,24173772,-0.0375
MSK-PCa1.o,3,24174921,24191775,-0.7667
MSK-PCa1.o,3,24193531,32099428,-0.0538
MSK-PCa1.o,3,32102958,32119952,1.1148
MSK-PCa1.o,3,32123211,41792085,-0.0756
MSK-PCa1.o,3,41798331,64045102,-0.8076
MSK-PCa1.o,3,64048749,71779067,-0.0532
MSK-PCa1.o,3,71782521,75930583,-0.8435
MSK-PCa1.o,3,75936605,76003358,-0.3915
MSK-PCa1.o,3,76005691,114209580,0.3932
MSK-PCa1.o,3,114213919,114481651,0.0063
MSK-PCa1.o,3,114482783,180907257,0.3973
MSK-PCa1.o,3,180913778,187069226,-0.0648
MSK-PCa1.o,3,187074010,192871811,0.3877
MSK-PCa1.o,3,192876188,192884256,-1.3614
MSK-PCa1.o,3,192885451,197845195,0.3843
MSK-PCa1.o,4,44020,10206662,-0.0471
MSK-PCa1.o,4,10212229,10223725,1.7825
MSK-PCa1.o,4,10244612,69402791,-0.0812
MSK-PCa1.o,4,69405968,69608683,-0.5847
MSK-PCa1.o,4,69621594,185287495,-0.0673
MSK-PCa1.o,4,185289331,185412482,-0.717
MSK-PCa1.o,4,185418252,185476703,-0.1423
MSK-PCa1.o,4,185482904,186435894,-0.8429
MSK-PCa1.o,4,186441735,186443182,2.3427
MSK-PCa1.o,4,186444559,187058627,-0.7222
MSK-PCa1.o,4,187061122,190535336,-0.1016
MSK-PCa1.o,4,190552246,190690975,-0.4808
MSK-PCa1.o,4,190693715,190804487,-0.0998
MSK-PCa1.o,4,190874457,190896842,-0.6293
MSK-PCa1.o,5,26142,21445032,0.7254
MSK-PCa1.o,5,21450187,21451717,-1.6869
MSK-PCa1.o,5,21453181,27869865,0.6847
MSK-PCa1.o,5,27875915,45895240,0.3569
MSK-PCa1.o,5,45902640,49559920,-0.0128
MSK-PCa1.o,5,49575599,66376479,-0.8197
MSK-PCa1.o,5,66379927,66596523,0.4138
MSK-PCa1.o,5,66600360,66678262,-0.0992
MSK-PCa1.o,5,66681370,67594798,0.3465
MSK-PCa1.o,5,67596026,74486662,-0.7949
MSK-PCa1.o,5,74488171,94891352,-0.0616
MSK-PCa1.o,5,94898111,95099245,0.4013
MSK-PCa1.o,5,95101890,98390918,-0.8364
MSK-PCa1.o,5,98397348,98492103,0.398
MSK-PCa1.o,5,98498082,98902218,-0.0556
MSK-PCa1.o,5,98910816,99174194,0.3979
MSK-PCa1.o,5,99179401,99458486,-0.2286
MSK-PCa1.o,5,99462436,99510957,0.3627
MSK-PCa1.o,5,99519277,127406890,-0.8201
MSK-PCa1.o,5,127408477,127410219,-2.9007
MSK-PCa1.o,5,127411704,132494701,-0.8226
MSK-PCa1.o,5,132500345,132733208,0.3881
MSK-PCa1.o,5,132734807,167962097,-0.0769
MSK-PCa1.o,5,167964425,180261717,0.3453
MSK-PCa1.o,5,180410254,180429736,-0.2808
MSK-PCa1.o,5,180432064,180712204,0.3775
MSK-PCa1.o,6,180959,295119,0.0694
MSK-PCa1.o,6,296674,382962,-0.2894
MSK-PCa1.o,6,384100,1386995,0.0423
MSK-PCa1.o,6,1389086,23189292,0.7331
MSK-PCa1.o,6,23194755,31779147,0.354
MSK-PCa1.o,6,31781596,31799739,-0.6797
MSK-PCa1.o,6,31801658,32440758,0.3144
MSK-PCa1.o,6,32450699,32492984,1.7873
MSK-PCa1.o,6,32497322,32605385,0.5617
MSK-PCa1.o,6,32608277,32631822,1.7496
MSK-PCa1.o,6,32637715,57199604,0.3847
MSK-PCa1.o,6,57205686,58071662,-0.1693
MSK-PCa1.o,6,58141215,58713015,0.3725
MSK-PCa1.o,6,61967253,74753998,-0.1166
MSK-PCa1.o,6,74763868,76536025,0.3688
MSK-PCa1.o,6,76537324,76601872,-0.1597
MSK-PCa1.o,6,76604860,78962240,0.3195
MSK-PCa1.o,6,78967838,79035131,1.1448
MSK-PCa1.o,6,79038696,85636582,0.3832
MSK-PCa1.o,6,85643914,96684451,-0.0713
MSK-PCa1.o,6,96696044,141251770,0.3992
MSK-PCa1.o,6,141253902,142022045,-0.7776
MSK-PCa1.o,6,142033708,142160042,-3.7969
MSK-PCa1.o,6,142163552,142403226,-0.8685
MSK-PCa1.o,6,142405046,160503642,-0.0572
MSK-PCa1.o,6,160505082,165723663,0.358
MSK-PCa1.o,6,165725547,165730620,1.6053
MSK-PCa1.o,6,165733325,170911181,0.415
MSK-PCa1.o,7,41290,38286095,-0.0562
MSK-PCa1.o,7,38287485,38304417,0.5996
MSK-PCa1.o,7,38307911,40039453,-0.0605
MSK-PCa1.o,7,40041485,40042905,-1.6571
MSK-PCa1.o,7,40044264,100532123,-0.092
MSK-PCa1.o,7,100533733,100535649,-2.8624
MSK-PCa1.o,7,100538975,109075656,-0.095
MSK-PCa1.o,7,109077513,109087330,-0.4027
MSK-PCa1.o,7,109097119,110470477,0.3855
MSK-PCa1.o,7,110472387,118824088,-0.0537
MSK-PCa1.o,7,118831232,118833639,1.2952
MSK-PCa1.o,7,118835506,126044318,-0.0688
MSK-PCa1.o,7,126046015,126050288,-2.7328
MSK-PCa1.o,7,126052150,145930142,-0.0844
MSK-PCa1.o,7,145932000,146000436,-0.8202
MSK-PCa1.o,7,146006099,152097878,-0.0921
MSK-PCa1.o,7,152099317,152112212,-0.9657
MSK-PCa1.o,7,152114167,159128502,-0.0703
MSK-PCa1.o,8,176493,2246944,-0.064
MSK-PCa1.o,8,2256252,2263604,-5.2911
MSK-PCa1.o,8,2269848,8112848,-0.1135
MSK-PCa1.o,8,8120426,8561707,-3.8958
