Sample_ID,Chromosome,Start,End,SegmentMean
TIF11_2D_DNA,1,12081,367179,-0.227541148095902
TIF11_2D_DNA,1,367680,622013,-1.1703901480959
TIF11_2D_DNA,1,622514,6211231,-0.0990259477055082
TIF11_2D_DNA,1,6212473,12954738,0.0446738388603184
TIF11_2D_DNA,1,12956131,13717011,-0.384283580528335
TIF11_2D_DNA,1,13717012,26487995,-0.0091921778434732
TIF11_2D_DNA,1,26488000,29041277,0.0768030134802206
TIF11_2D_DNA,1,29041778,55265636,-0.0091921778434732
TIF11_2D_DNA,1,55266137,108778009,-0.0990259477055082
TIF11_2D_DNA,1,108778811,109000778,-0.524530148095902
TIF11_2D_DNA,1,109001580,121484934,-0.0603587475530926
TIF11_2D_DNA,1,142542802,145368721,0.0456284329782666
TIF11_2D_DNA,1,145369222,146013592,0.541940480556725
TIF11_2D_DNA,1,146019764,146464485,0.0118023979040978
TIF11_2D_DNA,1,146465830,147561675,0.477171163029523
TIF11_2D_DNA,1,147563874,149368713,0.0456284329782666
TIF11_2D_DNA,1,149369214,149459645,-2.8865001480959
TIF11_2D_DNA,1,149510146,149885347,0.324832851904098
TIF11_2D_DNA,1,149895443,151680166,0.541940480556725
TIF11_2D_DNA,1,151680167,152079283,0.477171163029523
TIF11_2D_DNA,1,152079784,152328837,0.0456284329782666
TIF11_2D_DNA,1,152328874,153271810,0.477171163029523
TIF11_2D_DNA,1,153274788,156786638,0.541940480556725
TIF11_2D_DNA,1,156787139,249231246,0.477171163029523
TIF11_2D_DNA,2,10501,114334760,0.374900047267798
TIF11_2D_DNA,2,114335261,114386361,-0.0990259477055082
TIF11_2D_DNA,2,114387715,136736949,0.374900047267798
TIF11_2D_DNA,2,136740869,170090084,0.301669933700788
TIF11_2D_DNA,2,170092267,176196151,0.374900047267798
TIF11_2D_DNA,2,176196152,197534700,0.301669933700788
TIF11_2D_DNA,2,197536959,219140863,0.374900047267798
TIF11_2D_DNA,2,219140880,219553265,0.541940480556725
TIF11_2D_DNA,2,219553348,243188873,0.374900047267798
TIF11_2D_DNA,3,60501,9490368,-0.0603587475530926
TIF11_2D_DNA,3,9495397,10328500,0.0768030134802206
TIF11_2D_DNA,3,10328885,47061539,-0.0091921778434732
TIF11_2D_DNA,3,47062040,50357900,0.0768030134802206
TIF11_2D_DNA,3,50363472,131102392,-0.0091921778434732
TIF11_2D_DNA,3,131102893,131300578,-0.867295148095902
TIF11_2D_DNA,3,131306106,182665071,-0.0287881162975305
TIF11_2D_DNA,3,182665982,186839142,0.0446738388603184
TIF11_2D_DNA,3,186839643,192126024,-0.0603587475530926
TIF11_2D_DNA,3,192126525,194041461,-1.0062801480959
TIF11_2D_DNA,3,194047752,197955212,0.0446738388603184
TIF11_2D_DNA,4,13323,161003636,-0.0287881162975305
TIF11_2D_DNA,4,161003637,162841814,-1.0228201480959
TIF11_2D_DNA,4,162842315,191025802,-0.0091921778434732
TIF11_2D_DNA,5,10501,45907753,0.0446738388603184
TIF11_2D_DNA,5,49555075,68888088,0.0768030134802206
TIF11_2D_DNA,5,68888589,70242700,-0.293844148095902
TIF11_2D_DNA,5,70247660,81613917,0.0768030134802206
TIF11_2D_DNA,5,81613918,98857643,0.0162799390851259
TIF11_2D_DNA,5,98858144,99897947,-0.388267148095902
TIF11_2D_DNA,5,99898448,131924575,0.0162799390851259
TIF11_2D_DNA,5,131925384,134347422,0.118560144864983
TIF11_2D_DNA,5,134347923,137089848,-0.0287881162975305
TIF11_2D_DNA,5,137090349,140076149,0.155396975534771
TIF11_2D_DNA,5,140076155,170610487,0.0446738388603184
TIF11_2D_DNA,5,170610988,180376040,0.118560144864983
TIF11_2D_DNA,5,180376275,180430962,1.3062698519041
TIF11_2D_DNA,5,180431355,180752425,0.118560144864983
