Gene,Chromosome,Arm,Start,End,Gene_Length
DDX11L1,1,p,12010,13670,1660
WASH7P,1,p,14404,29570,15166
MIR6859-1,1,p,17369,17436,67
MIR1302-2HG,1,p,29554,31109,1555
MIR1302-2,1,p,30366,30503,137
FAM138A,1,p,34554,36081,1527
OR4G4P,1,p,52473,53312,839
OR4G11P,1,p,62949,63887,938
OR4F5,1,p,65419,71585,6166
CICP27,1,p,131025,134836,3811
RNU6-1100P,1,p,157784,157887,103
DDX11L17,1,p,182696,184174,1478
WASH9P,1,p,185217,195411,10194
MIR6859-2,1,p,187891,187958,67
RPL23AP24,1,p,347982,348366,384
WBP1LP7,1,p,439870,440232,362
OR4F29,1,p,450740,451678,938
CICP7,1,p,487101,489906,2805
MTND1P23,1,p,629062,629433,371
MTND2P28,1,p,629640,630683,1043
MTCO1P12,1,p,631074,632616,1542
MTCO2P12,1,p,632757,633438,681
MTATP8P1,1,p,633535,633741,206
MTATP6P1,1,p,633696,634376,680
MTCO3P12,1,p,634376,634922,546
WBP1LP6,1,p,674842,675265,423
OR4F16,1,p,685716,686654,938
CICP3,1,p,722092,724903,2811
RNU6-1199P,1,p,758233,758336,103
LINC01409,1,p,778747,810065,31318
FAM87B,1,p,817371,819837,2466
LINC00115,1,p,824228,827539,3311
LINC01128,1,p,825138,859446,34308
FAM41C,1,p,868071,876903,8832
TUBB8P11,1,p,873292,874349,1057
LINC02593,1,p,916865,921016,4151
SAMD11,1,p,923923,944575,20652
NOC2L,1,p,944203,959309,15106
KLHL17,1,p,960584,965719,5135
PLEKHN1,1,p,966482,975865,9383
PERM1,1,p,975198,982117,6919
HES4,1,p,998962,1000172,1210
ISG15,1,p,1001138,1014540,13402
AGRN,1,p,1020120,1056118,35998
RNF223,1,p,1070967,1074306,3339
C1orf159,1,p,1081818,1116361,34543
LINC01342,1,p,1137017,1144056,7039
MIR200B,1,p,1167104,1167198,94
MIR200A,1,p,1167863,1167952,89
MIR429,1,p,1169005,1169087,82
TTLL10-AS1,1,p,1173056,1179555,6499
TTLL10,1,p,1173880,1197936,24056
TNFRSF18,1,p,1203508,1206592,3084
TNFRSF4,1,p,1211326,1214153,2827
SDF4,1,p,1216931,1232031,15100
B3GALT6,1,p,1232237,1235041,2804
C1QTNF12,1,p,1242446,1246722,4276
UBE2J2,1,p,1253909,1273864,19955
LINC01786,1,p,1275223,1280420,5197
SCNN1D,1,p,1280436,1292029,11593
ACAP3,1,p,1292390,1309609,17219
MIR6726,1,p,1296110,1296170,60
PUSL1,1,p,1308597,1311677,3080
INTS11,1,p,1311585,1324687,13102
MIR6727,1,p,1312502,1312566,64
CPTP,1,p,1324756,1328896,4140
TAS1R3,1,p,1331280,1335314,4034
DVL1,1,p,1335276,1349418,14142
MIR6808,1,p,1339650,1339708,58
MXRA8,1,p,1352689,1361777,9088
AURKAIP1,1,p,1373730,1375207,1477
NDUFB4P8,1,p,1378666,1379032,366
CCNL2,1,p,1385711,1399335,13624
MRPL20-AS1,1,p,1399515,1402046,2531
MRPL20,1,p,1401909,1407293,5384
RN7SL657P,1,p,1405460,1405752,292
MRPL20-DT,1,p,1409096,1410618,1522
ANKRD65,1,p,1418420,1421769,3349
