Sample_ID,Chromosome,Start,End,SegmentMean
GX001-TF,1,69381,1361595,0.087426039
GX001-TF,1,1361729,14075929,-0.158707538
GX001-TF,1,14104959,14142984,1.011664391
GX001-TF,1,14220201,27755381,-0.127868307
GX001-TF,1,27873973,27878712,0.645169056
GX001-TF,1,27939385,39466623,-0.123254419
GX001-TF,1,39469038,39977575,-0.397146504
GX001-TF,1,39988062,45279395,-0.094589389
GX001-TF,1,45287417,45309054,0.733014348
GX001-TF,1,45316621,54678374,-0.151535882
GX001-TF,1,54681920,153363071,-0.00256166
GX001-TF,1,153363707,154248114,-0.199893337
GX001-TF,1,154294557,154296960,0.700910843
GX001-TF,1,154300355,156639135,-0.119343167
GX001-TF,1,156639533,186158983,0.013215817
GX001-TF,1,186270744,186281536,1.199056332
GX001-TF,1,186283108,214510130,-0.019298706
GX001-TF,1,214537870,214638172,0.946256383
GX001-TF,1,214787059,235403757,-0.016093617
GX001-TF,1,235416068,247002916,-0.141898484
GX001-TF,1,247004209,249212497,0.066183531
GX001-TF,2,41616,24033311,-0.002516878
GX001-TF,2,24033405,39984518,-0.113902071
GX001-TF,2,39988549,73287010,-0.01642283
GX001-TF,2,73298774,73441664,0.768585342
GX001-TF,2,73441910,96146264,-0.02606613
GX001-TF,2,96147321,96657388,0.691904573
GX001-TF,2,96688544,97751946,-0.019593765
GX001-TF,2,97756035,98201876,0.731895001
GX001-TF,2,98206158,178990943,0.002697314
GX001-TF,2,179185051,179669311,0.269441028
GX001-TF,2,179698945,242841511,-0.00576374
GX001-TF,3,361555,47459951,-0.036691904
GX001-TF,3,47460167,49569467,-0.191155483
GX001-TF,3,49569785,61548012,-0.052335899
GX001-TF,3,61975443,63825413,0.082451484
GX001-TF,3,63849360,64009332,0.946154054
GX001-TF,3,64084709,178917580,0.019437474
GX001-TF,3,178919203,187419966,-0.111280898
GX001-TF,3,187442822,187451416,1.029823886
GX001-TF,3,187964989,197896617,-0.091796536
GX001-TF,4,53338,65142757,-0.079605616
GX001-TF,4,65145451,86921768,0.027847674
GX001-TF,4,86938430,87281363,-0.363571872
GX001-TF,4,87556479,128689936,0.014799509
GX001-TF,4,128694690,190947628,-0.049123104
GX001-TF,5,140623,413488,0.246730869
GX001-TF,5,422955,442586,0.946439664
GX001-TF,5,442790,74325329,-0.027594198
GX001-TF,5,74325495,74491987,0.783955641
GX001-TF,5,74518070,137206569,0.006777891
GX001-TF,5,137211541,139216634,-0.200349303
GX001-TF,5,139216861,148930446,0.069598786
GX001-TF,5,148977459,149109952,0.73937198
GX001-TF,5,149151727,153144027,-0.041236938
GX001-TF,5,153149905,180166135,-0.126434541
GX001-TF,5,180166393,180687834,0.094958745
GX001-TF,6,292579,16306511,-0.014675685
GX001-TF,6,16306932,16328587,0.949479967
GX001-TF,6,17102449,25975832,-0.077727087
GX001-TF,6,25983522,27222901,0.417969099
GX001-TF,6,27276843,28333487,0.091075285
GX001-TF,6,28333836,44223117,-0.100025494
GX001-TF,6,44223262,100009291,0.009656962
GX001-TF,6,100016443,100062502,1.01428258
GX001-TF,6,100062680,136570258,0.02714322
GX001-TF,6,136582419,136599842,0.847501121
GX001-TF,6,136667104,170893592,-0.009792431
GX001-TF,7,193215,6862927,0.086478777
GX001-TF,7,6864057,48141399,0.254654709
GX001-TF,7,48141629,49815045,0.828788056
GX001-TF,7,49815321,55863714,0.269906376
GX001-TF,7,55873021,80439983,0.071268408
GX001-TF,7,80447622,97498463,0.303093595
GX001-TF,7,97614267,100490000,0.101458636
GX001-TF,7,100490187,101200856,-0.014228045
GX001-TF,7,101256833,121012183,0.222852484
GX001-TF,7,121612622,121694112,1.250750142
GX001-TF,7,121716637,158937456,0.206086611
GX001-TF,8,116481,62412023,-0.046623915
GX001-TF,8,62415953,62626959,0.903634855
GX001-TF,8,63161652,145584025,-0.015440002
GX001-TF,8,145584462,145618110,1.163155201
GX001-TF,8,145618694,146279360,0.066744126
GX001-TF,9,14889,6008253,-0.005289687
GX001-TF,9,6012364,6015420,1.072350575
GX001-TF,9,6241749,33473855,-0.051799216
GX001-TF,9,33524666,33799183,0.648711897
GX001-TF,9,33817724,101471013,-0.061400103
GX001-TF,9,101494993,101558464,0.840237703
GX001-TF,9,101558724,126777828,-0.044544825
GX001-TF,9,126783433,134367601,-0.203424378
GX001-TF,9,134371232,138235319,-0.078254094
GX001-TF,9,138236031,138379994,0.808919855
GX001-TF,9,138387230,141111360,-0.061271915
