Sample_ID,Chromosome,Start,End,SegmentMean
B-Met-031-1T-D,1,10501,865716,0.928311
B-Met-031-1T-D,1,866418,1372864,-0.512615
B-Met-031-1T-D,1,1375668,1470887,0.52578
B-Met-031-1T-D,1,1470968,12835297,-0.445174
B-Met-031-1T-D,1,12835685,12978757,0.216551
B-Met-031-1T-D,1,12979671,13219581,1.65871
B-Met-031-1T-D,1,13328832,16866070,-0.432719
B-Met-031-1T-D,1,16866571,17248012,2.3836
B-Met-031-1T-D,1,17248513,104093695,-0.475641
B-Met-031-1T-D,1,104094903,104299771,0.469508
B-Met-031-1T-D,1,104301090,108765825,-0.521117
B-Met-031-1T-D,1,108766326,109102549,0.352707
B-Met-031-1T-D,1,109103050,110199047,-0.450942
B-Met-031-1T-D,1,110199333,110258027,0.637442
B-Met-031-1T-D,1,110259958,120529705,-0.458678
B-Met-031-1T-D,1,120539288,121484934,1.42863
B-Met-031-1T-D,1,142535935,144851852,1.64335
B-Met-031-1T-D,1,144852353,144968992,0.164869
B-Met-031-1T-D,1,144969493,145414280,2.17159
B-Met-031-1T-D,1,145414781,145811463,0.232157
B-Met-031-1T-D,1,145811895,146420962,1.82032
B-Met-031-1T-D,1,146421558,147465149,0.287473
B-Met-031-1T-D,1,147465650,149876749,1.76364
B-Met-031-1T-D,1,149877427,152126718,0.14886
B-Met-031-1T-D,1,152127219,152330123,1.56493
B-Met-031-1T-D,1,152331222,153269930,-0.251822
B-Met-031-1T-D,1,153270431,161276254,0.247024
B-Met-031-1T-D,1,161276497,161643863,1.00744
B-Met-031-1T-D,1,161645046,207669111,0.19402
B-Met-031-1T-D,1,207679248,207934791,0.898102
B-Met-031-1T-D,1,207940357,214786596,0.179829
B-Met-031-1T-D,1,214787097,214830752,-0.721504
B-Met-031-1T-D,1,214832192,228108717,0.179884
B-Met-031-1T-D,1,228109218,228505452,0.590081
B-Met-031-1T-D,1,228505592,248098057,0.194432
B-Met-031-1T-D,1,248098558,249240121,0.725258
B-Met-031-1T-D,2,10501,89049595,0.162803
B-Met-031-1T-D,2,89050096,92267022,1.55551
B-Met-031-1T-D,2,95326672,110551541,-0.043217
B-Met-031-1T-D,2,110552042,111397425,0.498774
B-Met-031-1T-D,2,111398610,131904346,-0.12391
B-Met-031-1T-D,2,131904847,133176102,0.460441
B-Met-031-1T-D,2,133176603,152363527,-0.508609
B-Met-031-1T-D,2,152364518,152695893,0.172708
B-Met-031-1T-D,2,152698416,179312313,-0.447856
B-Met-031-1T-D,2,179314968,179642044,-0.0302473
B-Met-031-1T-D,2,179642146,233243797,-0.491119
B-Met-031-1T-D,2,233243909,233323458,0.344634
B-Met-031-1T-D,2,233324357,234474236,-0.558835
B-Met-031-1T-D,2,234474737,234669797,0.387072
B-Met-031-1T-D,2,234675679,243188873,-0.490318
B-Met-031-1T-D,3,60501,3383553,-0.642251
B-Met-031-1T-D,3,3383554,15562525,0.970412
B-Met-031-1T-D,3,15563633,20113951,-0.438742
B-Met-031-1T-D,3,20114452,20380542,0.37291
B-Met-031-1T-D,3,20380543,25057980,-0.485046
B-Met-031-1T-D,3,25057981,37785525,0.890622
B-Met-031-1T-D,3,37791952,39438011,0.199029
B-Met-031-1T-D,3,39438512,90311186,-0.449868
B-Met-031-1T-D,3,93519634,197961930,0.0836263
B-Met-031-1T-D,4,13323,492623,0.842121
B-Met-031-1T-D,4,493124,9214000,-0.10302
B-Met-031-1T-D,4,9217130,9445758,3.13726
B-Met-031-1T-D,4,9446259,49632814,-0.120506
B-Met-031-1T-D,4,52660618,69362522,0.156579
B-Met-031-1T-D,4,69363023,70361579,1.11598
B-Met-031-1T-D,4,70362080,191025802,0.163605
B-Met-031-1T-D,5,10501,1661347,0.612313
B-Met-031-1T-D,5,1661348,45907753,0.160282
B-Met-031-1T-D,5,49555075,75950828,0.163241
B-Met-031-1T-D,5,75954283,139907607,-0.143783
B-Met-031-1T-D,5,139907768,140896575,0.111874
B-Met-031-1T-D,5,140898510,175388437,-0.169633
B-Met-031-1T-D,5,175391953,175541052,1.00664
B-Met-031-1T-D,5,175541553,176965108,-0.208805
B-Met-031-1T-D,5,176965905,178634716,0.241355
B-Met-031-1T-D,5,178635217,180904760,-0.137544
B-Met-031-1T-D,6,60501,26017960,-0.464582
B-Met-031-1T-D,6,26020717,28052757,0.0665556
B-Met-031-1T-D,6,28053258,31948578,-0.517323
B-Met-031-1T-D,6,31948780,32013103,0.331105
