Sample_ID,Chromosome,Start,End,SegmentMean
WCM236_P1,1,721439,192778241,0.0
WCM236_P1,1,192779369,249212346,0.52
WCM236_P1,2,41615,234245,0.14
WCM236_P1,2,242800,88387557,0.04
WCM236_P1,2,88390587,197577457,-0.04
WCM236_P1,2,197578234,216176996,0.01
WCM236_P1,2,216177245,242946589,0.04
WCM236_P1,3,239347,197894712,0.0
WCM236_P1,4,59326,190396302,-0.08
WCM236_P1,5,140532,180687776,-0.06
WCM236_P1,6,203619,170893411,-0.06
WCM236_P1,7,193265,98609788,-0.06
WCM236_P1,7,98609975,107626483,0.08
WCM236_P1,7,107626770,158937072,-0.07
WCM236_P1,8,190897,146279481,0.44
WCM236_P1,9,17116,2056846,-0.65
WCM236_P1,9,2058302,6644638,-1.06
WCM236_P1,9,6645289,15922184,-0.68
WCM236_P1,9,15971689,22451551,-1.16
WCM236_P1,9,22451673,27949549,-0.68
WCM236_P1,9,27949825,38622116,-0.24
WCM236_P1,9,39078439,141111414,0.04
WCM236_P1,10,225952,375517,-0.01
WCM236_P1,10,386840,7326068,0.21
WCM236_P1,10,7327862,135381623,-0.06
WCM236_P1,11,193112,61570545,-0.04
WCM236_P1,11,61570917,74209047,0.05
WCM236_P1,11,74303742,134856592,-0.06
WCM236_P1,12,148642,133810703,0.01
WCM236_P1,13,19600515,115089411,-0.04
WCM236_P1,14,19377719,107283055,0.02
WCM236_P1,15,20170150,102517638,0.02
WCM236_P1,16,97486,90233622,0.04
WCM236_P1,17,131595,81083567,0.07
WCM236_P1,18,48272,78005205,-0.02
WCM236_P1,19,281413,507631,0.13
WCM236_P1,19,507846,33417121,0.13
WCM236_P1,19,33417859,59083951,0.23
WCM236_P1,20,68396,62904866,0.02
WCM236_P1,21,9907319,33371153,-0.07
WCM236_P1,21,33371456,48084210,0.63
WCM236_P1,22,16287434,51219138,0.07
WCM236_P1,X,2707708,154509348,-0.04
WCM236_T1,1,721450,192545008,-0.02
WCM236_T1,1,192545425,249212342,0.94
WCM236_T1,2,41613,198265098,0.0
WCM236_T1,2,198265521,215013948,-0.44
WCM236_T1,2,215102884,242946589,-0.11
WCM236_T1,3,239347,197894712,0.0
WCM236_T1,4,59334,190396343,-0.04
WCM236_T1,5,140532,180687776,-0.02
WCM236_T1,6,203561,144507857,-0.01
WCM236_T1,6,144508165,170893458,-0.76
WCM236_T1,7,193436,147075204,-0.02
WCM236_T1,7,147092804,158937227,0.53
WCM236_T1,8,190907,146279489,0.77
WCM236_T1,9,17075,82339978,-0.12
WCM236_T1,9,84199200,120476798,0.51
WCM236_T1,9,121929586,139960738,0.65
WCM236_T1,9,139964447,141111414,0.57
WCM236_T1,10,225960,135381799,-0.02
WCM236_T1,11,193112,1642920,0.02
WCM236_T1,11,1643173,4562947,0.55
WCM236_T1,11,4566796,134856534,0.03
WCM236_T1,12,148675,133810703,0.04
WCM236_T1,13,19600515,115089411,-0.04
WCM236_T1,14,19377710,42361139,-0.03
WCM236_T1,14,42997963,60433330,0.51
WCM236_T1,14,60433878,105954807,-0.01
