Sample_ID,Chromosome,Start,End,SegmentMean
blca100_org,1,810013,1630509,0.0136779
blca100_org,1,1632960,1752999,0.480015
blca100_org,1,1753016,16490693,0.0139922
blca100_org,1,16490705,16922768,0.434779
blca100_org,1,16924250,121699500,-0.0226981
blca100_org,1,145632350,147908418,0.0139659
blca100_org,1,149853352,155590340,-0.0028269
blca100_org,1,155752580,161518227,-0.0209989
blca100_org,1,161520899,161677580,0.350635
blca100_org,1,161707127,248919830,-0.0270815
blca100_org,2,41453,69837732,-0.0291768
blca100_org,2,70300721,92043852,-0.00040462
blca100_org,2,94814949,96030903,0.0429774
blca100_org,2,96032024,97008542,-0.174695
blca100_org,2,97029143,97658263,0.211679
blca100_org,2,97658417,101253295,-0.0902629
blca100_org,2,102239850,110624677,-0.0698932
blca100_org,2,110637910,113542254,-0.148206
blca100_org,2,113563847,113714319,0.418155
blca100_org,2,113714820,130410370,-0.148635
blca100_org,2,130729053,237927069,-0.174577
blca100_org,2,237930158,242116323,-0.0963665
blca100_org,3,10501,90257383,-0.0402896
blca100_org,3,93874166,195579529,-0.0437974
blca100_org,3,195618713,195726295,0.440374
blca100_org,3,195726350,198221577,-0.0137623
blca100_org,4,85638,49061998,-0.0624255
blca100_org,4,51800501,190026128,-0.0356198
blca100_org,5,90422,45965220,0.0131349
blca100_org,5,50398887,69553899,-0.096142
blca100_org,5,69566660,71215676,0.543284
blca100_org,5,71259852,181471485,-0.0678005
blca100_org,6,60501,31980652,-0.000931803
blca100_org,6,31980783,32045011,0.750436
blca100_org,6,32046104,33280682,-0.00557736
blca100_org,6,33280774,37009086,-0.171784
blca100_org,6,37010847,42050471,0.326397
blca100_org,6,42050537,43203490,0.61382
blca100_org,6,43203493,43331936,0.427163
blca100_org,6,44000523,52277267,-0.159337
blca100_org,6,52277464,58453388,-0.00200867
blca100_org,6,60400138,99435748,-0.0372109
blca100_org,6,99435749,105539918,0.0757029
blca100_org,6,105676431,107263866,0.810938
blca100_org,6,107273961,170745940,-0.10818
blca100_org,7,193144,5752254,0.0529589
blca100_org,7,5752755,6024782,0.42172
blca100_org,7,6024785,57470567,0.00358233
blca100_org,7,62507280,63714715,0.371161
blca100_org,7,63714747,64992995,-0.14313
blca100_org,7,65039081,72694163,0.0969396
blca100_org,7,73304218,74718991,0.0707552
blca100_org,7,74753776,75472356,0.482119
blca100_org,7,75472857,77122189,0.0944261
blca100_org,7,77122530,102473124,0.0176026
blca100_org,7,102691039,142050345,-0.00663819
blca100_org,7,142100749,143511871,-0.00261032
blca100_org,7,143875889,159144695,0.0414103
blca100_org,8,166808,7234213,-0.130428
blca100_org,8,7234220,7741119,0.510088
blca100_org,8,7848599,36218907,-0.148303
blca100_org,8,36360149,43362988,0.207484
blca100_org,8,50704548,58146477,0.00734354
blca100_org,8,58146573,98952088,0.147363
blca100_org,8,99013703,101369212,0.318673
blca100_org,8,101369263,103765664,0.525961
blca100_org,8,107493826,145054165,0.123737
blca100_org,9,36106,45518058,-0.0600669
blca100_org,9,60738933,68483942,0.263083
blca100_org,9,68483980,124808017,-0.200678
blca100_org,9,124809699,138215695,-0.00605887
blca100_org,10,48815,38685032,-0.0158353
blca100_org,10,42336132,46330079,0.0135334
blca100_org,10,46381201,47000054,0.433438
blca100_org,10,47002165,68981624,-0.0415955
blca100_org,10,68982531,73168474,-0.212128
blca100_org,10,73174571,73772143,1.91441
blca100_org,10,73772308,77251310,1.38995
blca100_org,10,78054811,93757582,-0.0266149
blca100_org,10,93758083,94720589,0.299076
blca100_org,10,95037187,116436887,-0.210135
blca100_org,10,116443031,118871578,1.80857
blca100_org,10,119005619,133740644,-0.160647
blca100_org,11,88117,3129118,-0.123567
blca100_org,11,3129619,48366462,-0.194213
blca100_org,11,48367689,50820848,-0.0331909
blca100_org,11,54591451,58834789,-0.207402
blca100_org,11,59938385,60744032,1.4334
blca100_org,11,60763666,61102035,0.676481
blca100_org,11,61102536,62750493,-0.13045
blca100_org,11,62824059,68794951,-0.168982
blca100_org,11,70407233,71526695,-0.0644365
blca100_org,11,71528172,74611613,0.259189
blca100_org,11,74612856,76016990,-0.213321
blca100_org,11,76703288,77269130,0.522544
blca100_org,11,77269825,79839493,0.913775
blca100_org,11,79839494,101128076,-0.192401
blca100_org,11,101128511,102945786,0.207081
blca100_org,11,105753193,135076122,-0.18016
blca100_org,12,38387,34027458,-0.0076033
blca100_org,12,37800501,121424328,-0.0193767
blca100_org,12,121429101,133264809,0.0394821
blca100_org,13,16000501,87104076,-0.0299312
blca100_org,13,87388044,109785249,-0.0311237
blca100_org,13,109785563,114327244,0.0668521
blca100_org,14,18224024,81661627,-0.0645859
blca100_org,14,81956401,106851597,-0.040243
blca100_org,15,17000501,22732824,0.447632
blca100_org,15,22733959,30044624,0.00896609
blca100_org,15,30045125,30635262,0.506399
blca100_org,15,30635477,43536143,-0.0243722
blca100_org,15,43751509,79472333,-0.0346336
blca100_org,15,79845195,101976170,-0.0129696
blca100_org,16,14359,18047429,0.0177305
blca100_org,16,18592577,28497162,-0.013417
blca100_org,16,28497233,31916488,0.0898496
blca100_org,16,31963834,34013583,0.813577
blca100_org,16,46473873,69942376,-0.0247798
blca100_org,16,69954253,70186565,0.429336
blca100_org,16,70250941,70855329,-0.0124276
blca100_org,16,71064606,90194132,0.018229
blca100_org,17,156130,18388344,-0.000721832
blca100_org,17,18411506,19335177,0.223525
blca100_org,17,19335319,22525439,0.0174854
blca100_org,17,26981713,28122005,0.392241
blca100_org,17,28122506,37923830,-0.0252139
blca100_org,17,38219662,39451261,0.0167914
blca100_org,17,39451762,40077651,0.577545
blca100_org,17,40083802,83239486,0.0128447
blca100_org,18,49177,15399500,-0.0109573
blca100_org,18,20949788,80247421,-0.0120842
blca100_org,19,65879,20398347,0.0207752
blca100_org,19,20398432,24162522,-0.167049
blca100_org,19,28100501,58582396,0.0364938
blca100_org,20,60501,26208325,0.13652
blca100_org,20,30214819,64327690,0.153992
blca100_org,21,5216747,13067099,0.783648
blca100_org,21,13069128,27131533,-0.0777846
blca100_org,21,27461183,46664347,-0.0224652
blca100_org,22,12276089,18157747,0.0379794
blca100_org,22,18157795,18923143,0.495831
blca100_org,22,18923228,21067103,-0.0319222
blca100_org,22,21067489,21567853,0.350893
blca100_org,22,21568354,34479127,-0.00731699
blca100_org,22,34626351,50788785,0.0160414
blca100_org,X,10501,57910827,0.0889868
blca100_org,X,62779317,120750521,0.0841593
blca100_org,X,120876689,120985603,1.73258
blca100_org,X,121047642,154143733,0.119528
blca100_org,X,154144234,154304972,0.848453
blca100_org,X,154304981,156009904,0.146418
blca100_org,Y,2786889,8789129,-0.0980216
blca100_org,Y,10174071,26579365,-0.120138
blca100_tum,1,14416,30757779,0.0226912
blca100_tum,1,30758280,36473830,-0.179542
blca100_tum,1,36473874,36819943,0.310256
blca100_tum,1,36825588,38893289,0.673604
blca100_tum,1,38895868,39413175,0.384463
blca100_tum,1,39413217,40692145,1.13771
blca100_tum,1,40738783,107964136,-0.0133403
blca100_tum,1,107964637,109632107,0.297852
blca100_tum,1,109656316,110030457,0.574878
blca100_tum,1,110034582,121699500,-0.0267338
blca100_tum,1,143401631,156791859,0.0504454
blca100_tum,1,156794577,248919830,-0.0106816
blca100_tum,2,41453,60305256,-0.0577115
blca100_tum,2,60305257,61478178,0.317826
blca100_tum,2,61478239,68567477,0.0086869
blca100_tum,2,68577754,73089380,0.230311
blca100_tum,2,73090027,92043852,-0.00506345
blca100_tum,2,94814949,95385915,-0.0241598
blca100_tum,2,95405522,96030903,0.231457
blca100_tum,2,96032024,96988413,-0.112647
blca100_tum,2,96988914,97658263,0.252171
blca100_tum,2,97658417,178534290,-0.04921
blca100_tum,2,178534378,178904754,-0.164308
blca100_tum,2,178905255,203958111,-0.0716032
blca100_tum,2,203959486,224931694,-0.284157
blca100_tum,2,224932195,225408879,3.97922
blca100_tum,2,225408899,225873438,2.70489
blca100_tum,2,226017034,229512992,-0.0707212
blca100_tum,2,229513493,242116323,-0.47839
blca100_tum,3,10501,39477577,0.163294
blca100_tum,3,39477618,62645918,0.0145211
blca100_tum,3,62650809,65874360,0.844256
blca100_tum,3,65874861,90257383,0.276818
blca100_tum,3,93874166,103774427,0.231569
blca100_tum,3,103774428,197814878,0.0923256
blca100_tum,3,197814893,198221577,0.24973
blca100_tum,4,85638,49061998,-0.0420215
blca100_tum,4,51800501,60932482,-0.0614346
blca100_tum,4,60932483,190026128,-0.21466
blca100_tum,5,90422,5464320,-0.36315
blca100_tum,5,5464582,32100887,-0.0588665
blca100_tum,5,32100889,39270707,0.093329
blca100_tum,5,39271208,41939675,-0.336865
blca100_tum,5,41941096,45965220,-0.0850236
blca100_tum,5,50398887,69534154,-0.448871
blca100_tum,5,69534655,71412196,0.0571982
blca100_tum,5,71458470,134738117,-0.445128
blca100_tum,5,134738618,136365380,-0.197405
blca100_tum,5,136518096,137662094,0.472401
blca100_tum,5,137662595,140127465,0.121377
blca100_tum,5,140127482,181471485,-0.251004
blca100_tum,6,60501,26016498,-0.040517
blca100_tum,6,26016999,31980524,0.0326458
blca100_tum,6,31980530,32056940,0.511802
blca100_tum,6,32057749,58453388,-0.0210965
blca100_tum,6,60400138,170745940,-0.0415359
blca100_tum,7,193144,57470567,-0.00609875
blca100_tum,7,62507280,159144695,0.0041982
blca100_tum,8,166808,26658239,-0.341527
blca100_tum,8,26658740,26864953,0.441678
blca100_tum,8,26865454,35794686,-0.364687
blca100_tum,8,35795187,37756567,0.366561
blca100_tum,8,37756677,39978564,0.675009
blca100_tum,8,39979065,43362988,0.438346
blca100_tum,8,46974474,85475904,0.402003
blca100_tum,8,85477029,100225370,0.661099
blca100_tum,8,100231070,100948813,1.70067
blca100_tum,8,100948842,103765664,1.44577
blca100_tum,8,103766165,105804518,1.00539
blca100_tum,8,105805019,108443050,1.47948
blca100_tum,8,108443551,145054165,0.399933
blca100_tum,9,36106,45518058,-0.0483339
blca100_tum,9,60738933,64835330,0.0197103
blca100_tum,9,64889231,124811408,-0.519792
